audio_feature	target	r_raw	p_raw	r_resid	p_resid	n
audio_energy_mean	discussion_duration_s	0.09404541486085374	0.6620371729545541			24
audio_pitch_mean	discussion_duration_s	0.04937265982804343	0.8187890340454025			24
audio_pitch_sd	discussion_duration_s	-0.1264831825205063	0.5559060423286495			24
audio_hnr_mean	discussion_duration_s	0.015971376657393534	0.9409539148298771			24
audio_energy_mean	cooperative_mean	-0.34696639279325026	0.36029069732775215	-0.5566537550744104	0.11954139714004319	9
audio_energy_mean	team_coordination_mean	0.27295775461313243	0.3249633989099583	0.43065349893569044	0.10904727782075627	15
audio_energy_mean	voice_inclusion_mean	0.24135061529449353	0.25589450757400656	0.2916279285681215	0.1667615816368454	24
audio_energy_mean	mental_demand_mean	-0.18473112140308606	0.3875029567827834	-0.25215401247358715	0.2345657441900813	24
audio_pitch_mean	cooperative_mean	-0.33255938398219254	0.3818885559572581	-0.15786230267204923	0.6850094657475687	9
audio_pitch_mean	team_coordination_mean	-0.07070847680275337	0.8022723321977964	0.0651460965445056	0.8175753108151469	15
audio_pitch_mean	voice_inclusion_mean	-0.08125930546957413	0.7058306703326327	-0.05561072744616411	0.7963361765313639	24
audio_pitch_mean	mental_demand_mean	0.044173252478542153	0.8376103874177268	0.009375226583852063	0.9653205280537045	24
audio_pitch_sd	cooperative_mean	0.2962788665270543	0.43885201146707425	0.1330262672562606	0.7329656847738161	9
audio_pitch_sd	team_coordination_mean	0.24892292389905368	0.3709810152939324	0.20484337648344908	0.4639552332634593	15
audio_pitch_sd	voice_inclusion_mean	0.2961749777886838	0.15994418567754665	0.2321590753893311	0.2749967874317316	24
audio_pitch_sd	mental_demand_mean	-0.18014069641786296	0.39961066680060287	-0.09170209156342903	0.6699882459697073	24
audio_hnr_mean	cooperative_mean	-0.3233298168211868	0.3960356910960929	-0.04716434630242565	0.9040955152780311	9
audio_hnr_mean	team_coordination_mean	-0.21635419183148863	0.43864493573118335	-0.1409910765000496	0.6162308178045444	15
audio_hnr_mean	voice_inclusion_mean	-0.23000341838806615	0.2796043294706234	-0.22171279633942506	0.29777671469852446	24
audio_hnr_mean	mental_demand_mean	0.00019055915982670485	0.9992949048792849	-0.011071234610677608	0.9590516348316765	24
