group_id,task_id,file,n_events,n_covered_windows,last_event_onset_s,n_total_windows,window_coverage_frac
grp-07,T1,transcript_grp-07_T1_2026-06-17 (2).tsv,97,10,426.705,44,0.22727272727272727
grp-07,T2,transcript_grp-07_T2_2026-06-17.tsv,299,28,901.0,74,0.3783783783783784
grp-07,T3,transcript_grp-07_T3_2026-06-17.tsv,263,13,686.802,57,0.22807017543859648
grp-07,T4,transcript_grp-07_T4_2026-06-17.tsv,51,7,333.931,29,0.2413793103448276
grp-10,T1,transcript_grp-10_T1_2026-06-18.tsv,125,13,575.057,53,0.24528301886792453
grp-10,T2,transcript_grp-10_T2_2026-06-19.tsv,241,25,891.0,69,0.36231884057971014
grp-10,T3,transcript_grp-10_T3_2026-06-21.tsv,217,14,644.364,52,0.2692307692307692
grp-10,T4,transcript_grp-10_T4_2026-06-19.tsv,148,11,335.941,58,0.1896551724137931
grp-14,T1,transcript_grp-14_T1_2026-06-21.tsv,153,15,656.532,56,0.26785714285714285
grp-14,T2,transcript_grp-14_T2_2026-06-22 (1).tsv,321,23,824.952,62,0.3709677419354839
grp-14,T3,transcript_grp-14_T3_2026-06-25.tsv,214,13,654.261,53,0.24528301886792453
grp-14,T4,transcript_grp-14_T4_2026-06-25.tsv,138,10,424.197,31,0.3225806451612903
grp-15,T1,transcript_grp-15_T1_2026-06-17 (1).tsv,271,15,619.0,59,0.2542372881355932
grp-15,T2,transcript_grp-15_T2_2026-06-17.tsv,219,22,762.0,68,0.3235294117647059
grp-15,T3,transcript_grp-15_T3_2026-06-17.tsv,211,14,700.02,57,0.24561403508771928
grp-15,T4,transcript_grp-15_T4_2026-06-17.tsv,77,10,366.665,26,0.38461538461538464
grp-16,T1,transcript_grp-16_T1_2026-07-08.tsv,132,15,616.0,39,0.38461538461538464
grp-16,T2,transcript_grp-16_T2_2026-07-08 (2).tsv,214,18,672.0,43,0.4186046511627907
grp-16,T3,transcript_grp-16_T3_2026-07-08.tsv,296,21,955.0,63,0.3333333333333333
grp-16,T4,transcript_grp-16_T4_2026-07-08.tsv,238,17,672.0,58,0.29310344827586204
grp-11,T1,transcript_grp11_T1_2026-07-06_reviewed.tsv,247,18,556.514,36,0.5
grp-11,T2,transcript_grp11_T2_2026-07-06_reviewed.tsv,359,25,853.042,56,0.44642857142857145
grp-11,T3,transcript_grp11_T3_2026-07-06_reviewed.tsv,330,17,503.057,39,0.4358974358974359
grp-11,T4,transcript_grp11_T4_2026-07-06_reviewed.tsv,159,13,406.755,30,0.43333333333333335
grp-12,T1,transcript_grp12_T1_2026-07-06_reviewed.tsv,173,20,646.448,50,0.4
grp-12,T2,transcript_grp12_T2_2026-07-06_reviewed.tsv,276,28,822.836,59,0.4745762711864407
grp-12,T3,transcript_grp12_T3_2026-07-06_reviewed.tsv,289,19,715.882,46,0.41304347826086957
grp-12,T4,transcript_grp12_T4_2026-07-06_reviewed.tsv,88,11,386.017,24,0.4583333333333333
grp-13,T1,transcript_grp13_T1_2026-07-06_reviewed.tsv,168,18,583.024,52,0.34615384615384615
grp-13,T2,transcript_grp13_T2_2026-07-07_reviewed.tsv,196,23,694.785,60,0.38333333333333336
grp-08,T1,transcript_grp8_T1_2026-07-06_reviewed.tsv,253,25,840.631,55,0.45454545454545453
grp-08,T2,transcript_grp8_T2_2026-07-06_reviewed.tsv,402,34,994.34,65,0.5230769230769231
grp-08,T3,transcript_grp8_T3_2026-07-06_reviewed.tsv,314,26,954.651,62,0.41935483870967744
grp-08,T4,transcript_grp8_T4_2026-07-06_reviewed.tsv,227,15,427.154,30,0.5
grp-09,T2,transcript_grp9_T2_2026-07-06_reviewed.tsv,160,20,596.772,45,0.4444444444444444
grp-09,T3,transcript_grp9_T3_2026-07-06_reviewed.tsv,274,21,723.757,54,0.3888888888888889
grp-09,T4,transcript_grp9_T4_2026-07-06_reviewed.tsv,154,13,399.548,29,0.4482758620689655
