family	feature_a	feature_b	spearman_rho
lexical	lex_agreement_count	n_spk_rows	0.8038900502978679
lexical	lex_hedging_count	lex_unique_words	0.8578781812609393
lexical	lex_hedging_count	lex_word_count	0.8631526125742206
lexical	lex_unique_words	lex_word_count	0.9867823051392898
lexical	n_speakers	n_spk_rows	0.8879230123786462
bert_semantics	bert_umap10	bert_umap8	-0.9618403575013831
bert_semantics	bert_umap4	bert_umap5	-0.8388828220231707
bert_semantics	bert_umap4	bert_umap6	0.8721068256331886
bert_semantics	bert_umap5	bert_umap6	-0.9625404877639849
bert_semantics	bert_umap5	bert_umap7	-0.84281586603765
bert_semantics	bert_umap6	bert_umap7	0.8568788077434926
