feature_set	target	n	n_groups	ICC	LR_stat	dof	LR_p	n_per_param	converged	underpowered	q
Focal only	team_coordination	63	10	0.013	20.36	11	0.0407	4.85	True	True	0.1018
Focal only	voice_inclusion	97	10	0.0	24.04	11	0.0126	6.93	True	False	0.057
Focal only	mental_demand	96	10	0.0	11.37	11	0.4125	6.86	True	False	0.55
Focal only	satisfaction	64	10	0.0	11.46	11	0.4056	4.92	True	True	0.55
Others mean only	team_coordination	67	10	0.093	23.1	11	0.0171	5.15	True	False	0.057
Others mean only	voice_inclusion	105	10	0.0	10.31	11	0.5031	7.5	True	False	0.5919
Others mean only	mental_demand	104	10	0.0	12.4	11	0.3342	7.43	True	False	0.524
Others mean only	satisfaction	70	10	0.0	9.39	11	0.5859	5.38	True	False	0.651
Others mean+std	team_coordination	67	10	0.093	36.36	22	0.0277	2.79	True	True	0.0791
Others mean+std	voice_inclusion	105	10	0.0	24.13	22	0.3406	4.2	True	True	0.524
Others mean+std	mental_demand	104	10	0.0	24.22	22	0.3357	4.16	True	True	0.524
Others mean+std	satisfaction	70	10	0.0	21.81	22	0.4714	2.92	True	True	0.5892
Focal + Others mean	team_coordination	62	9	0.014	40.72	22	0.0089	2.58	True	True	0.057
Focal + Others mean	voice_inclusion	95	9	0.0	38.63	22	0.0156	3.8	True	True	0.057
Focal + Others mean	mental_demand	94	9	0.0	18.49	22	0.6764	3.76	True	True	0.712
Focal + Others mean	satisfaction	63	9	0.0	27.45	22	0.1946	2.62	True	True	0.3892
Focal + Others mean+std	team_coordination	62	9	0.014	59.98	33	0.0028	1.77	True	True	0.028
Focal + Others mean+std	voice_inclusion	95	9	0.0	63.63	33	0.0011	2.64	True	True	0.022
Focal + Others mean+std	mental_demand	94	9	0.0	27.47	33	0.7386	2.61	True	True	0.7386
Focal + Others mean+std	satisfaction	63	9	0.0	42.86	33	0.1168	1.8	True	True	0.2596
