group_id	task	participant	lex_word_count	lex_unique_words	lex_ttr	lex_mean_word_len	lex_n_unigrams	lex_n_bigrams	lex_n_trigrams	lex_unique_bigrams	lex_unique_trigrams	lex_unigram_diversity	lex_bigram_diversity	lex_trigram_diversity	lex_unigram_entropy	lex_bigram_entropy	lex_trigram_entropy	lex_hapax_count	lex_hapax_ratio	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_question_count	lex_suggestion_count	lex_positive_count	lex_negative_count	lex_agreement_rate	lex_question_rate_per_min	lex_suggestion_rate_per_min	lex_sentiment_ratio	lex_speaking_time_s
grp-07	T1	P1	217	111	0.5115	4.24	217	216	215	200	210	0.5115	0.9259	0.9767	6.366	7.57	7.698	71	0.3272	2	15	2	0	0	5	2	0.0092	0.0	0.0	0.429	108.321
grp-07	T1	P2	39	28	0.7179	3.46	39	38	37	37	37	0.7179	0.9737	1.0	4.631	5.195	5.209	21	0.5385	3	0	0	0	0	0	0	0.0769	0.0	0.0	0.0	37.283
grp-07	T1	P3	102	78	0.7647	4.18	102	101	100	100	100	0.7647	0.9901	1.0	6.16	6.638	6.644	59	0.5784	7	4	0	3	0	4	0	0.0686	3.42	0.0	1.0	52.627
grp-07	T1	P4	120	75	0.625	3.98	120	119	118	116	118	0.625	0.9748	1.0	5.917	6.838	6.883	53	0.4417	12	9	4	1	0	4	0	0.1	0.76	0.0	1.0	78.995
grp-07	T2	P1	820	232	0.2829	4.05	820	819	818	647	771	0.2829	0.79	0.9425	6.947	9.139	9.552	121	0.1476	30	68	3	12	5	30	0	0.0366	1.89	0.79	1.0	380.433
grp-07	T2	P2	223	100	0.4484	4.03	223	222	221	191	211	0.4484	0.8604	0.9548	6.19	7.467	7.691	53	0.2377	5	9	0	3	1	4	0	0.0224	1.35	0.45	1.0	133.029
grp-07	T2	P3	329	141	0.4286	3.98	329	328	327	282	318	0.4286	0.8598	0.9725	6.506	8.004	8.293	85	0.2584	11	17	3	6	4	4	0	0.0334	2.5	1.67	1.0	143.858
grp-07	T2	P4	354	154	0.435	4.25	354	353	352	311	342	0.435	0.881	0.9716	6.649	8.177	8.403	96	0.2712	15	18	2	5	1	5	1	0.0424	2.31	0.46	0.667	129.592
grp-07	T3	P1	169	80	0.4734	3.88	169	168	167	141	159	0.4734	0.8393	0.9521	5.845	7.029	7.283	50	0.2959	8	14	1	2	1	4	0	0.0473	1.46	0.73	1.0	82.073
grp-07	T3	P2	152	91	0.5987	4.05	152	151	150	134	138	0.5987	0.8874	0.92	6.189	7.003	7.064	65	0.4276	6	6	1	1	0	1	0	0.0395	0.66	0.0	1.0	90.958
grp-07	T3	P3	227	117	0.5154	3.81	227	226	225	216	225	0.5154	0.9558	1.0	6.413	7.732	7.814	78	0.3436	16	9	2	6	2	3	1	0.0705	3.06	1.02	0.5	117.566
grp-07	T3	P4	401	161	0.4015	4.07	401	400	399	354	390	0.4015	0.885	0.9774	6.75	8.388	8.593	84	0.2095	28	36	1	6	1	10	1	0.0698	2.14	0.36	0.818	168.563
grp-07	T4	P1	66	39	0.5909	3.55	66	65	64	63	64	0.5909	0.9692	1.0	5.108	5.961	6.0	21	0.3182	7	5	0	1	0	1	0	0.1061	2.19	0.0	1.0	27.445
grp-07	T4	P2	90	50	0.5556	3.57	90	89	88	70	73	0.5556	0.7865	0.8295	5.286	6.004	6.096	33	0.3667	3	6	2	2	0	3	0	0.0333	2.18	0.0	1.0	55.047
grp-07	T4	P3	168	79	0.4702	3.65	168	167	166	149	161	0.4702	0.8922	0.9699	5.922	7.131	7.293	43	0.256	5	10	0	1	0	3	0	0.0298	1.12	0.0	1.0	53.417
grp-07	T4	P4	169	72	0.426	3.63	169	168	167	118	131	0.426	0.7024	0.7844	5.712	6.764	6.948	32	0.1893	6	13	1	0	0	1	0	0.0355	0.0	0.0	1.0	22.245
grp-08	T1	P1	160	84	0.525	4.1	160	159	158	149	156	0.525	0.9371	0.9873	6.03	7.178	7.278	49	0.3063	11	7	0	2	0	4	0	0.0688	2.11	0.0	1.0	56.79
grp-08	T1	P2	296	148	0.5	4.04	296	295	294	277	293	0.5	0.939	0.9966	6.791	8.077	8.193	87	0.2939	11	19	4	2	0	5	0	0.0372	1.11	0.0	1.0	108.099
grp-08	T1	P3	88	57	0.6477	3.75	88	87	86	81	84	0.6477	0.931	0.9767	5.652	6.305	6.38	36	0.4091	9	0	2	3	0	1	0	0.1023	3.15	0.0	1.0	57.157
