feature_set	target	n_feats	n_participant	n_groups	ICC	LR_stat	dof	LR_p	q
Physio only	team_coordination	3	72	10	0.048	12.99	3	0.0047	0.0926
Physio only	voice_inclusion	3	111	10	0.0	2.32	3	0.5096	0.9256
Physio only	mental_demand	3	110	10	0.0	2.16	3	0.5398	0.9256
Physio only	satisfaction	3	74	10	0.0	1.64	3	0.6514	0.9706
Eye-tracking only	team_coordination	4	76	10	0.038	1.43	4	0.8388	0.9706
Eye-tracking only	voice_inclusion	4	115	10	0.0	2.09	4	0.7191	0.9706
Eye-tracking only	mental_demand	4	114	10	0.0	3.4	4	0.4925	0.9256
Eye-tracking only	satisfaction	4	74	10	0.0	1.95	4	0.7451	0.9706
Physio + ET	team_coordination	7	72	10	0.048	14.19	7	0.0479	0.2299
Physio + ET	voice_inclusion	7	111	10	0.0	4.25	7	0.7508	0.9706
Physio + ET	mental_demand	7	110	10	0.0	4.99	7	0.6611	0.9706
Physio + ET	satisfaction	7	74	10	0.0	3.44	7	0.8419	0.9706
Audio only	team_coordination	4	68	10	0.053	12.89	4	0.0118	0.1062
Audio only	voice_inclusion	4	107	10	0.0	3.71	4	0.4468	0.9256
Audio only	mental_demand	4	106	10	0.0	9.95	4	0.0413	0.2206
Audio only	satisfaction	4	71	10	0.0	3.27	4	0.5133	0.9256
Turn-taking only	team_coordination	13	72	10	0.016	30.6	13	0.0039	0.0926
Turn-taking only	voice_inclusion	13	111	10	0.0	7.63	13	0.8668	0.9706
Turn-taking only	mental_demand	13	110	10	0.0	19.28	13	0.1148	0.4664
Turn-taking only	satisfaction	13	75	10	0.0	8.3	13	0.8237	0.9706
Lexical (theory)	team_coordination	10	72	10	0.016	24.12	10	0.0073	0.0926
Lexical (theory)	voice_inclusion	10	111	10	0.0	8.95	10	0.537	0.9256
Lexical (theory)	mental_demand	10	110	10	0.0	9.64	10	0.4727	0.9256
Lexical (theory)	satisfaction	10	75	10	0.0	7.36	10	0.6913	0.9706
DA keywords	team_coordination	5	72	10	0.016	12.32	5	0.0307	0.1842
DA keywords	voice_inclusion	5	111	10	0.0	2.78	5	0.7335	0.9706
DA keywords	mental_demand	5	110	10	0.0	5.31	5	0.3797	0.9256
DA keywords	satisfaction	5	75	10	0.0	2.04	5	0.8432	0.9706
Semantic + completion	team_coordination	4	52	9	0.0	1.08	4	0.8969	0.9706
