session_id	group_id	session_date	session_datetime_utc	task	task_duration_s	task_start_wall	task_end_wall	task_start_lsl	task_end_lsl	has_events	has_task_window	discussion_start_phase	discussion_onset_s	discussion_duration_s	missing_phases	quality_notes	expected_discussion_phase	overhead_s	overhead_pct
ses-20260312_grp-07_run01	grp-07	2026-03-12	2026-03-12 12:05:29 UTC	T0	1083.0	1773317129.721477	1773318212.733889	327437.346077	328520.358489	True	True	free_talk	876.7	206.3	welcome		free_talk	876.7	80.95106186518929
ses-20260312_grp-07_run01	grp-07	2026-03-12	2026-03-12 12:05:29 UTC	T1	435.8	1773318223.689872	1773318659.516953	328531.314472	328967.141553	True	True	discussion_selection	137.1	298.7			discussion_selection	137.10000000000002	31.459385039008723
ses-20260312_grp-07_run01	grp-07	2026-03-12	2026-03-12 12:05:29 UTC	T2	901.5	1773318908.346555	1773319809.885095	329215.971155	330117.509695	True	True	role_card	64.3	837.2			role_card	64.29999999999995	7.132556849694947
ses-20260312_grp-07_run01	grp-07	2026-03-12	2026-03-12 12:05:29 UTC	T3	697.1	1773320044.960949	1773320742.101299	330352.585549	331049.725899	True	True	show_ideas_discussion	264.3	432.8			show_ideas_discussion	264.3	37.91421603787118
ses-20260312_grp-07_run01	grp-07	2026-03-12	2026-03-12 12:05:29 UTC	T4	344.9	1773320923.001868	1773321267.938601	331230.626468	331575.563201	True	True	discussion	148.8	196.2			discussion	148.7	43.11394607132502
ses-20260313_grp-08_run01	grp-08	2026-03-13	2026-03-13 09:04:24 UTC	T0	1108.2	1773392664.560287	1773393772.770024	402973.23682	404081.446556	False	True	free_talk	792.1	316.1		events file exists but is empty;recovered from recording-lsl	free_talk	792.1	71.47626782169283
ses-20260313_grp-08_run01	grp-08	2026-03-13	2026-03-13 09:04:24 UTC	T1	844.2	1773393772.770024	1773394616.922893	404081.446556	404925.599425	False	True	discussion_selection	158.8	685.3		events file exists but is empty;recovered from recording-lsl	discussion_selection	158.9000000000001	18.82255389718077
ses-20260313_grp-08_run01	grp-08	2026-03-13	2026-03-13 09:04:24 UTC	T2	995.2	1773394616.922893	1773395612.096385	404925.599425	405920.772917	False	True	role_card	72.9	922.3		events file exists but is empty;recovered from recording-lsl	role_card	72.90000000000009	7.325160771704189
ses-20260313_grp-08_run01	grp-08	2026-03-13	2026-03-13 09:04:24 UTC	T3	955.2	1773395612.096385	1773396567.247921	405920.772917	406875.924453	False	True	show_ideas_discussion	359.1	596.1		events file exists but is empty;recovered from recording-lsl	show_ideas_discussion	359.1	37.59422110552764
ses-20260313_grp-08_run01	grp-08	2026-03-13	2026-03-13 09:04:24 UTC	T4	477.4	1773396567.247921	1773397044.677185	406875.924453	407353.353717	False	True	discussion	142.8	334.6		events file exists but is empty;recovered from recording-lsl	discussion	142.79999999999995	29.912023460410552
ses-20260317_grp-09_run01	grp-09	2026-03-17		T0						False	False	free_talk				events file exists but is empty;no data	free_talk		
ses-20260317_grp-09_run01	grp-09	2026-03-17		T1	23.6	1773751142.408732	1773751166.010677	761456.936829	761480.538774	True	True	discussion_selection			tobii_calibration;intro;evidence_card;discussion_selection		discussion_selection		
ses-20260317_grp-09_run01	grp-09	2026-03-17		T2	598.1	1773751337.618597	1773751935.677737	761652.146694	762250.205834	True	True	role_card	48.1	549.9	tobii_calibration;shared_brief		role_card	48.200000000000045	8.058853034609605
ses-20260317_grp-09_run01	grp-09	2026-03-17		T3	725.2	1773752041.717653	1773752766.898223	762356.24575	763081.42632	True	True	show_ideas_discussion	225.1	500.1	tobii_calibration;instructions		show_ideas_discussion	225.10000000000002	31.039713182570328
ses-20260317_grp-09_run01	grp-09	2026-03-17		T4	400.9	1773752876.121668	1773753277.069766	763190.649765	763591.597863	True	True	discussion	214.6	186.3	tobii_calibration		discussion	214.59999999999997	53.529558493389864
ses-20260317_grp-10_run01	grp-10	2026-03-17	2026-03-17 14:00:32 UTC	T0	70018.7	1773756032.899419	1773826051.59165	766347.427556	836366.119788	True	True	free_talk	725.6	69293.1		duration 70019s suspiciously long (overnight issue?)	free_talk	725.5999999999913	1.0362945898738356
ses-20260317_grp-10_run01	grp-10	2026-03-17	2026-03-17 14:00:32 UTC	T1	604.8	1773757088.094345	1773757692.864974	767402.622483	768007.393112	True	True	discussion_selection	190.3	414.4	tobii_calibration		discussion_selection	190.39999999999998	31.481481481481477
ses-20260317_grp-10_run01	grp-10	2026-03-17	2026-03-17 14:00:32 UTC	T2	891.7	1773757907.137244	1773758798.842698	768221.665381	769113.370836	True	True	role_card	50.5	841.2	tobii_calibration;shared_brief		role_card	50.5	5.663339688235953
ses-20260317_grp-10_run01	grp-10	2026-03-17	2026-03-17 14:00:32 UTC	T3	657.6	1773758959.134639	1773759616.727791	769273.662776	769931.255929	True	True	show_ideas_discussion	225.5	432.1	tobii_calibration;instructions		show_ideas_discussion	225.5	34.29136253041362
ses-20260317_grp-10_run01	grp-10	2026-03-17	2026-03-17 14:00:32 UTC	T4	341.2	1773759758.916036	1773760100.102701	770073.444174	770414.630838	True	True	discussion	218.9	122.3	tobii_calibration		discussion	218.89999999999998	64.1559202813599
ses-20260318_grp-11_run01	grp-11	2026-03-18	2026-03-18 09:06:09 UTC	T0	1791.0	1773824769.318853	1773826560.313394	-1577.954755	213.039786	False	True	free_talk				events file exists but is empty	free_talk		
ses-20260318_grp-11_run01	grp-11	2026-03-18	2026-03-18 09:06:09 UTC	T1	560.2	1773826560.313394	1773827120.478176	213.039786	773.204568	False	True	discussion_selection				events file exists but is empty	discussion_selection		
ses-20260318_grp-11_run01	grp-11	2026-03-18	2026-03-18 09:06:09 UTC	T2	856.7	1773827120.478176	1773827977.221884	773.204568	1629.948276	False	True	role_card				events file exists but is empty	role_card		
ses-20260318_grp-11_run01	grp-11	2026-03-18	2026-03-18 09:06:09 UTC	T3	607.2	1773827977.221884	1773828584.452042	1629.948276	2237.178433	False	True	show_ideas_discussion				events file exists but is empty	show_ideas_discussion		
ses-20260318_grp-11_run01	grp-11	2026-03-18	2026-03-18 09:06:09 UTC	T4	471.0	1773828584.452042	1773829055.404143	2237.178433	2708.130534	False	True	discussion				events file exists but is empty	discussion		
ses-20260318_grp-12_run01	grp-12	2026-03-18	2026-03-18 11:53:07 UTC	T0	1459.3	1773834787.226161	1773836246.499785	8439.953015	9899.226639	True	True	free_talk	1236.8	222.5			free_talk	1236.8	84.75296374974303
ses-20260318_grp-12_run01	grp-12	2026-03-18	2026-03-18 11:53:07 UTC	T1	647.0	1773836246.191424	1773836893.190436	9898.918277	10545.917289	True	True	discussion_selection	208.6	438.4	tobii_calibration		discussion_selection	208.60000000000002	32.24111282843896
ses-20260318_grp-12_run01	grp-12	2026-03-18	2026-03-18 11:53:07 UTC	T2	826.0	1773837025.593871	1773837851.600196	10678.320724	11504.327049	True	True	role_card	88.3	737.7	tobii_calibration		role_card	88.29999999999995	10.690072639225177
ses-20260318_grp-12_run01	grp-12	2026-03-18	2026-03-18 11:53:07 UTC	T3	719.1	1773838004.524631	1773838723.635378	11657.251484	12376.362231	True	True	show_ideas_discussion	251.5	467.6	tobii_calibration		show_ideas_discussion	251.5	34.974273397302184
ses-20260318_grp-12_run01	grp-12	2026-03-18	2026-03-18 11:53:07 UTC	T4	388.6	1773838840.728825	1773839229.328705	12493.455678	12882.055558	True	True	discussion	197.1	191.5	tobii_calibration;shared_brief		discussion	197.10000000000002	50.720535254760684
ses-20260318_grp-13_run01	grp-13	2026-03-18	2026-03-18 14:03:44 UTC	T0	1145.8	1773842624.511143	1773843770.275421	16277.260534	17423.024811	True	True	free_talk	924.8	220.9			free_talk	924.9	80.72089369872579
ses-20260318_grp-13_run01	grp-13	2026-03-18	2026-03-18 14:03:44 UTC	T1	589.4	1773843784.777308	1773844374.143695	17437.526699	18026.893086	True	True	discussion_selection	213.3	376.1			discussion_selection	213.29999999999995	36.189345096708514
ses-20260318_grp-13_run01	grp-13	2026-03-18	2026-03-18 14:03:44 UTC	T2	697.0	1773844587.965087	1773845284.918225	18240.714478	18937.667615	True	True	role_card	88.1	608.9			role_card	88.10000000000002	12.639885222381638
ses-20260318_grp-13_run01	grp-13	2026-03-18	2026-03-18 14:03:44 UTC	T3	646.8	1773845505.855507	1773846152.656458	19158.604897	19805.405849	True	True	show_ideas_discussion	266.0	380.8			show_ideas_discussion	265.99999999999994	41.12554112554112
ses-20260318_grp-13_run01	grp-13	2026-03-18	2026-03-18 14:03:44 UTC	T4	228.4	1773846347.789733	1773846576.237349	20000.539124	20228.98674	True	True	discussion	112.6	115.8			discussion	112.60000000000001	49.299474605954465
ses-20260319_grp-14_run01	grp-14	2026-03-19	2026-03-19 08:58:47 UTC	T0	978.2	1773910727.543789	1773911705.748662	84380.412258	85358.617131	True	True	free_talk	636.8	339.4	study_introduction;finish	finish marker missing; used last event	free_talk	638.8000000000001	65.30361889184216
ses-20260319_grp-14_run01	grp-14	2026-03-19	2026-03-19 08:58:47 UTC	T1	857.1	1773911705.748662	1773912562.874542	85358.617131	86215.74301	True	True	discussion_selection	188.5	458.5	tobii_calibration		discussion_selection	398.6	46.50565861626414
ses-20260319_grp-14_run01	grp-14	2026-03-19	2026-03-19 08:58:47 UTC	T2	945.7	1773912562.874542	1773913508.595272	86215.74301	87161.46374	True	True	role_card	85.5	721.6	tobii_calibration;shared_brief		role_card	224.10000000000002	23.69673257904198
ses-20260319_grp-14_run01	grp-14	2026-03-19	2026-03-19 08:58:47 UTC	T3	812.7	1773913508.595272	1773914321.315839	87161.46374	87974.184308	True	True	show_ideas_discussion	259.4	429.2	tobii_calibration;instructions		show_ideas_discussion	383.50000000000006	47.18838439768673
ses-20260319_grp-14_run01	grp-14	2026-03-19	2026-03-19 08:58:47 UTC	T4	542.0	1773914321.315839	1773914863.272003	87974.184308	88516.140471	True	True	discussion	236.1	214.5	tobii_calibration		discussion	327.5	60.42435424354244
ses-20260319_grp-15_run01	grp-15	2026-03-19	2026-03-19 11:55:34 UTC	T0	1568.0	1773921334.221595	1773922902.200818	94987.114043	96555.093265	True	True	free_talk	1002.3	552.7			free_talk	1015.3	64.75127551020408
ses-20260319_grp-15_run01	grp-15	2026-03-19	2026-03-19 11:55:34 UTC	T1	901.0	1773922902.200818	1773923803.183875	96555.093265	97456.076322	True	True	discussion_selection	165.8	446.0			discussion_selection	455.0	50.49944506104328
ses-20260319_grp-15_run01	grp-15	2026-03-19	2026-03-19 11:55:34 UTC	T2	1035.4	1773923803.183875	1773924838.622573	97456.076322	98491.51502	True	True	role_card	67.4	679.0			role_card	356.4000000000001	34.42147962140236
ses-20260319_grp-15_run01	grp-15	2026-03-19	2026-03-19 11:55:34 UTC	T3	877.9	1773924838.622573	1773925716.505846	98491.51502	99369.398293	True	True	show_ideas_discussion	294.1	425.1			show_ideas_discussion	452.79999999999995	51.577628431484214
ses-20260319_grp-15_run01	grp-15	2026-03-19	2026-03-19 11:55:34 UTC	T4	418.0	1773925716.505846	1773926134.551807	99369.398293	99787.444254	True	True	discussion	139.5	202.0			discussion	216.0	51.67464114832536
ses-20260320_grp-16_run01	grp-16	2026-03-20	2026-03-20 09:00:36 UTC	T0	1362.0	1773997236.89322	1773998598.900596	170889.928142	172251.935517	True	True	free_talk	1020.3	341.7			free_talk	1020.3	74.91189427312776
