session_id	group_id	free_talk_onset_s	t0_end_s	free_talk_duration_s	source	notes
ses-20260312_grp-07_run01	grp-07	876.7	1083.0	206.3	events.tsv	OK
ses-20260313_grp-08_run01	grp-08	792.1	1108.2	316.1	recording-lsl_events.tsv	events.tsv was empty; timing from recording-lsl + task_run_windows
ses-20260317_grp-09_run01	grp-09					no free_talk marker in any event file; T0 also missing from task_run_windows
ses-20260317_grp-10_run01	grp-10	69674.1	70018.7	344.6	events.tsv	overnight clock issue — onset is bogus but duration is valid (relative timing preserved)
ses-20260318_grp-11_run01	grp-11					T0 events empty; no recording-lsl file; T0 known missing (docs/data_audit.md)
ses-20260318_grp-12_run01	grp-12	1236.8	1459.3	222.5	events.tsv	OK
ses-20260318_grp-13_run01	grp-13	924.8	1145.8	221.0	events.tsv	OK
ses-20260319_grp-14_run01	grp-14	636.8	978.2	341.4	events.tsv + task_run_windows	free_talk present but finish marker missing; used task_run_windows end
ses-20260319_grp-15_run01	grp-15	1183.2	1555.1	371.9	events.tsv	OK
ses-20260320_grp-16_run01	grp-16	1020.3	1362.0	341.7	events.tsv	OK
