group_id	task_id	window_index	tr_completion_count	tr_repetition_count
 grp-07  	 T2     	4	0	0
 grp-07  	 T2     	9	0	1
 grp-07  	 T2     	12	0	1
 grp-07  	 T2     	27	0	0
 grp-07  	 T2     	29	0	0
 grp-07  	 T3     	14	0	0
 grp-07  	 T3     	16	0	0
 grp-07  	 T3     	19	0	0
 grp-07  	 T3     	22	0	0
 grp-08  	 T3     	19	1	0
 grp-08  	 T3     	24	0	0
 grp-10  	 T1     	18	0	1
 grp-10  	 T3     	20	0	1
 grp-11  	 T1     	6	0	1
 grp-11  	 T1     	12	0	0
 grp-11  	 T2     	18	0	0
 grp-11  	 T2     	20	0	1
 grp-11  	 T3     	15	0	0
 grp-12  	 T1     	14	0	0
 grp-13  	 T2     	9	0	0
 grp-13  	 T2     	19	0	0
 grp-14  	 T2     	9	1	0
 grp-14  	 T2     	22	0	0
 grp-14  	 T3     	18	0	0
 grp-15  	 T1     	8	0	0
 grp-15  	 T1     	9	0	1
 grp-15  	 T1     	12	0	0
 grp-15  	 T2     	7	0	0
 grp-15  	 T2     	23	0	0
 grp-15  	 T2     	24	0	0
 grp-15  	 T3     	20	0	0
 grp-16  	 T1     	16	0	1
 grp-16  	 T2     	19	0	0
 grp-16  	 T3     	11	0	1
 grp-16  	 T3     	20	0	1
 grp-16  	 T3     	26	0	0
grp-07	T2	9	0	1
grp-07	T2	19	0	0
grp-07	T2	26	0	0
grp-08	T1	12	0	0
grp-08	T1	14	0	0
grp-08	T1	19	0	1
grp-08	T2	14	0	0
grp-08	T2	18	0	0
grp-08	T2	23	0	0
grp-08	T2	25	0	0
grp-08	T3	2	0	0
grp-08	T3	11	0	0
grp-08	T3	17	0	0
grp-08	T3	19	0	0
grp-08	T3	21	0	0
grp-08	T3	22	0	0
grp-08	T3	27	0	0
grp-08	T3	28	0	0
grp-09	T3	11	0	0
grp-09	T3	13	0	0
grp-09	T3	14	0	0
grp-09	T3	15	0	0
grp-09	T3	22	0	0
grp-10	T2	14	0	0
grp-10	T3	13	0	0
grp-10	T3	19	1	0
grp-11	T1	5	0	0
grp-11	T1	7	0	1
grp-11	T1	8	1	0
grp-11	T2	10	0	0
grp-11	T2	12	0	0
grp-11	T2	17	0	0
grp-11	T2	20	0	0
grp-11	T2	21	0	0
grp-11	T2	23	0	0
grp-11	T3	6	0	0
grp-11	T3	9	0	0
grp-11	T3	10	0	0
grp-11	T3	11	0	0
grp-11	T3	12	0	0
grp-11	T3	13	0	0
grp-11	T3	16	0	0
grp-12	T1	21	0	0
grp-12	T2	16	0	0
grp-12	T2	17	0	0
grp-12	T2	18	0	0
grp-12	T2	25	0	0
grp-12	T3	12	0	0
grp-12	T3	13	0	0
grp-12	T3	19	0	0
grp-12	T3	21	0	0
grp-12	T3	22	0	0
grp-13	T1	15	0	0
grp-13	T1	16	0	0
grp-14	T1	14	0	0
grp-14	T1	15	0	0
grp-14	T1	20	0	0
grp-14	T2	9	0	0
grp-14	T2	22	0	0
grp-15	T1	11	0	0
grp-15	T1	12	0	0
grp-15	T2	5	0	0
grp-15	T2	17	0	0
grp-15	T2	20	0	0
grp-15	T2	23	0	0
grp-15	T3	18	0	0
grp-15	T3	20	0	0
grp-15	T3	23	1	0
grp-16	T1	16	0	0
grp-16	T1	19	0	0
grp-16	T2	9	0	0
grp-16	T2	16	0	0
