group_id	participant	age	sex	handedness	english_proficiency	education	bfi44_e	bfi44_a	bfi44_c	bfi44_n	bfi44_o
grp-07	P1	34	male	ambidextrous	Fluent	master	3.125	3.667	3.556	2.0	3.6
grp-07	P2	50	female	right	Fluent	professional_certificate	2.875	4.111	4.333	3.125	3.4
grp-07	P3	36	female	right	Fluent	master	3.75	4.111	3.889	2.25	2.8
grp-07	P4	39	female	right	Fluent	master	3.125	3.556	3.889	3.0	3.6
grp-08	P1	36	female	right	Fluent	master	4.375	3.667	3.111	2.25	3.8
grp-08	P2	35	male	right	Fluent	master	2.625	4.556	2.667	3.0	4.1
grp-08	P3	30	female	right	Fluent	master	3.875	4.111	4.0	2.0	2.4
grp-08	P4	34	male	right	Fluent	phd	3.25	3.889	3.111	2.875	3.3
grp-09	P1	26	male	right	Native speaker	bachelor	3.875	4.111	3.889	2.25	4.0
grp-09	P2	24	male	right	Native speaker	master	3.875	3.556	3.778	1.75	3.6
grp-09	P3	32	female	right	Fluent	master	3.125	4.444	3.444	3.0	4.4
grp-09	P4	27	male	right	Fluent	master	2.75	4.444	4.444	2.5	3.8
grp-10	P1	44	female	right	Native speaker	master	3.25	4.222	4.222	1.75	3.3
grp-10	P2	24	female	right	Fluent	master	2.875	4.444	3.778	2.75	3.5
grp-10	P3	27	male	right	Fluent	master	3.75	4.444	4.222	4.0	4.1
grp-10	P4	25	male	right	Intermediate	bachelor	3.25	3.778	3.0	2.375	3.3
grp-11	P1	42	female	right	Fluent	master	2.5	3.889	3.889	2.625	3.0
grp-11	P2	58	female	right	Intermediate	bachelor	2.375	3.667	4.0	3.25	3.3
grp-11	P3	47	male	right	Fluent	phd	3.25	3.667	3.0	2.875	3.9
grp-11	P4	39	female	right	Native speaker	master	3.625	4.556	4.889	1.375	3.8
grp-12	P1	56	female	right	Native speaker	master	4.25	4.0	3.556	1.375	3.1
grp-12	P2	30	female	right	Fluent	master	3.25	4.333	4.333	1.5	4.4
grp-12	P3	30	male	left	Fluent	phd	2.375	3.444	4.111	2.125	4.6
grp-12	P4	44	male	right	Fluent	phd	2.75	3.0	3.444	3.375	3.2
grp-13	P1	25	male	right	Fluent	master	3.125	4.0	3.889	2.0	3.2
grp-13	P2	24	male	right	Intermediate	master	3.75	3.333	3.556	2.0	3.1
grp-13	P3	52	female	right	Fluent	bachelor	3.25	3.333	3.667	3.0	3.2
grp-13	P4	46	male	right	Fluent	phd	3.75	3.444	3.444	2.125	3.6
grp-14	P1	31	male	right	Fluent	ap	2.5	3.667	3.889	1.875	3.5
grp-14	P2	34	female	right	Native speaker	graduate_certificate	3.5	3.889	2.889	3.5	4.4
grp-14	P3	33	male	right	Fluent	bachelor	2.875	3.889	3.889	2.75	3.8
grp-14	P4	23	female	right	Fluent	master	3.75	4.667	4.333	2.5	4.0
grp-15	P1	32	male	right	Fluent	master	3.875	3.333	4.111	3.75	4.4
grp-15	P2	26	female	right	Native speaker	master	3.625	4.111	4.444	2.625	3.6
grp-15	P3	36	male	right	Fluent	phd	4.25	3.667	3.778	2.125	3.6
grp-15	P4	26	female	right	Fluent	bachelor	1.875	4.444	3.444	3.125	3.6
grp-16	P1	42	male	right	Fluent	master	3.0	3.0	3.444	2.625	3.5
grp-16	P2	43	female	right	Fluent	master	3.125	3.333	3.444	2.5	3.1
grp-16	P3	38	female	left	Fluent	master	2.875	4.333	3.222	1.875	2.6
grp-16	P4	34	female	right	Fluent	master	4.125	4.111	4.556	1.875	4.3
