group_id	task	participant	tr_speaking_time_s	tr_n_turns	tr_backchannel_count	tr_laughter_count	tr_overlap_count	tr_overlap_time_s	tr_overlap_competitive	tr_overlap_floor_fight	tr_overlap_smooth	tr_overlap_backchannel_ovl
grp-07	T1	P1	108.321	14	1	0	4	17.009	1	2	1	0
grp-07	T1	P2	37.283	4	0	0	0	0.0	0	0	0	0
grp-07	T1	P3	52.627	10	5	0	7	21.471	1	6	0	0
grp-07	T1	P4	78.995	11	0	0	8	39.354	0	5	1	0
grp-07	T2	P1	380.433	54	2	0	12	45.498	1	7	1	3
grp-07	T2	P2	133.029	15	7	0	3	18.449	1	2	0	0
grp-07	T2	P3	143.858	38	2	2	14	23.904	2	7	3	2
grp-07	T2	P4	129.592	34	3	0	14	25.269	2	6	2	3
grp-07	T3	P1	82.073	15	3	0	13	17.57	1	4	2	2
grp-07	T3	P2	90.958	14	1	1	9	15.335	0	3	0	3
grp-07	T3	P3	117.566	37	12	0	39	64.853	13	17	2	5
grp-07	T3	P4	168.563	35	7	1	25	51.596	2	11	2	8
grp-07	T4	P1	27.445	8	0	0	0	0.0	0	0	0	0
grp-07	T4	P2	55.047	11	0	0	0	0.0	0	0	0	0
grp-07	T4	P3	53.417	20	0	0	0	0.0	0	0	0	0
grp-07	T4	P4	22.245	9	0	0	0	0.0	0	0	0	0
grp-08	T1	P1	56.79	18	2	1	6	2.583	1	0	1	0
grp-08	T1	P2	108.099	33	2	2	4	2.062	2	0	0	1
grp-08	T1	P3	57.157	20	0	0	8	3.127	0	1	1	1
grp-08	T1	P4	107.394	25	3	1	8	3.934	2	1	3	1
grp-08	T2	P1	122.385	34	8	1	9	9.205	1	5	1	1
grp-08	T2	P2	168.297	49	10	0	17	10.564	4	0	6	6
grp-08	T2	P3	112.036	29	3	3	16	9.271	3	3	5	4
grp-08	T2	P4	132.797	43	1	1	17	6.926	2	2	3	6
grp-08	T3	P1	30.501	25	10	2	8	5.737	4	2	1	1
grp-08	T3	P2	242.323	50	9	0	15	12.263	6	2	2	2
grp-08	T3	P3	70.589	30	2	2	10	3.618	0	1	4	1
grp-08	T3	P4	27.604	18	5	1	5	1.607	1	0	1	1
grp-08	T4	P1	66.991	23	3	1	7	4.682	3	1	2	1
grp-08	T4	P2	90.565	24	8	2	11	8.897	4	2	1	3
grp-08	T4	P3	33.517	27	1	3	18	15.489	5	6	3	3
grp-08	T4	P4	29.601	11	8	3	5	5.917	0	3	1	0
grp-09	T2	P1	42.173	8	3	1	1	1.922	0	1	0	0
grp-09	T2	P2	175.291	28	2	1	6	3.928	2	1	0	3
grp-09	T2	P3	75.669	12	0	2	0	0.0	0	0	0	0
grp-09	T2	P4	77.772	14	6	0	1	0.38	0	0	1	0
grp-09	T3	P1	106.1	40	11	1	6	3.593	1	2	1	2
grp-09	T3	P2	114.067	25	3	2	4	4.745	0	3	0	1
grp-09	T3	P3	110.373	26	11	7	3	3.193	1	2	0	0
grp-09	T3	P4	46.345	14	10	5	5	6.513	1	1	1	1
grp-09	T4	P1	32.115	14	5	1	6	4.033	3	0	0	0
grp-09	T4	P2	66.199	24	3	3	2	3.526	0	1	0	0
grp-09	T4	P3	24.491	5	1	6	1	1.173	0	1	0	0
grp-09	T4	P4	7.793	9	4	2	1	1.176	0	1	0	0
