group_id	task	participant	cooperative	decision_confidence	idea_quality	manipcheck_t2	satisfaction	team_coordination	perceived_effectiveness_z	perceived_effectiveness_raw
grp-07	T1	P1		7.0				6.0	0.5461265952456577	6.5
grp-07	T1	P2		7.0				7.0	0.9746307599967596	7.0
grp-07	T1	P3		7.0				6.0	0.5461265952456577	6.5
grp-07	T1	P4		6.0				7.0	0.637481706734826	6.5
grp-07	T2	P1	4.0			6.0	7.0		1.069613449323763	6.5
grp-07	T2	P2	4.0			6.0	6.0		0.7581004716582094	6.0
grp-07	T2	P3	3.0			1.0	1.0		-2.3160628379427552	1.0
grp-07	T2	P4	4.0			3.0	7.0		0.1596543965598451	5.0
grp-07	T3	P1			4.0		4.0	7.0	-0.4556243328419519	5.5
grp-07	T3	P2			6.0		6.0	7.0	0.48697272244365286	6.5
grp-07	T3	P3			6.0		7.0	6.0	0.5032917237044964	6.5
grp-07	T3	P4			7.0		7.0	7.0	0.9582712500864553	7.0
grp-08	T1	P1		7.0				4.0	-0.31088173425654636	5.5
grp-08	T1	P2		6.0				4.0	-0.6480307875184801	5.0
grp-08	T1	P3		6.0				7.0	0.637481706734826	6.5
grp-08	T1	P4		7.0				6.0	0.5461265952456577	6.5
grp-08	T2	P1	6.0			6.0	7.0		1.069613449323763	6.5
grp-08	T2	P2	3.0			6.0	6.0		0.7581004716582094	6.0
grp-08	T2	P3	3.0			5.0	4.0		-0.16824516792753724	4.5
grp-08	T2	P4	3.0			5.0	5.0		0.14326780973801637	5.0
grp-08	T3	P1			4.0		6.0	4.0	-0.8779658567022239	5.0
grp-08	T3	P2			4.0		6.0	4.0	-0.8779658567022239	5.0
grp-08	T3	P3			4.0		7.0	7.0	0.9582712500864553	7.0
grp-08	T3	P4			2.0		6.0	4.0	-0.8779658567022239	5.0
grp-09	T1	P1		4.0				6.0	-0.4653205645401436	5.0
grp-09	T1	P2		7.0				7.0	0.9746307599967596	7.0
grp-09	T1	P3		6.0				6.0	0.20897754198372392	6.0
grp-09	T1	P4		7.0				4.0	-0.31088173425654636	5.5
grp-09	T2	P1	1.0			5.0	6.0		0.45478078740357003	5.5
grp-09	T2	P2	1.0			4.0	3.0		-0.7830778298477301	3.5
grp-09	T2	P3	5.0			7.0	5.0		0.7499071782472949	6.0
grp-09	T2	P4	3.0			3.0	4.0		-0.7748845364368158	3.5
grp-09	T3	P1			5.0		5.0	5.0	-0.8942848579630673	5.0
grp-09	T3	P2			6.0		3.0	5.0	-1.8368819132486722	4.0
grp-09	T3	P3			5.0		7.0	5.0	0.04831219732253744	6.0
grp-09	T3	P4			6.0		6.0	6.0	0.031993196061693936	6.0
grp-10	T1	P1		4.0				4.0	-1.3223288940423477	4.0
grp-10	T1	P2		6.0				7.0	0.637481706734826	6.5
grp-10	T1	P3		7.0				5.0	0.11762243049455567	6.0
grp-10	T1	P4		6.0				5.0	-0.2195266227673781	5.5
grp-10	T2	P1	3.0			4.0	2.0		-1.0945908075132837	3.0
grp-10	T2	P2	5.0			5.0	7.0		0.7662937650691237	6.0
grp-10	T2	P3	3.0			1.0	7.0		-0.44698497194943343	4.0
grp-10	T2	P4	5.0			4.0	4.0		-0.47156485218217653	4.0
grp-10	T3	P1			5.0		7.0	5.0	0.04831219732253744	6.0
grp-10	T3	P2			4.0		7.0	7.0	0.9582712500864553	7.0
grp-10	T3	P3			6.0		7.0	6.0	0.5032917237044964	6.5
grp-10	T3	P4			7.0		7.0	7.0	0.9582712500864553	7.0
grp-11	T1	P1		5.0				6.0	-0.1281715112782099	5.5
grp-11	T1	P2		6.0				6.0	0.20897754198372392	6.0
grp-11	T1	P3		4.0				5.0	-0.8938247292912456	4.5
grp-11	T1	P4		4.0				6.0	-0.4653205645401436	5.0
grp-11	T2	P1	6.0			4.0	4.0		-0.47156485218217653	4.0
grp-11	T2	P2	2.0			3.0	4.0		-0.7748845364368158	3.5
grp-11	T2	P3	3.0			3.0	3.0		-1.0863975141023694	3.0
grp-11	T2	P4	6.0			5.0	5.0		0.14326780973801637	5.0
grp-11	T3	P1			4.0		6.0	6.0	0.031993196061693936	6.0
grp-11	T3	P2			5.0		6.0	6.0	0.031993196061693936	6.0
grp-11	T3	P3			3.0		6.0	6.0	0.031993196061693936	6.0
grp-11	T3	P4			4.0		6.0	6.0	0.031993196061693936	6.0
grp-12	T1	P1		1.0				2.0	-3.190784383330353	1.5
grp-12	T1	P2		7.0				6.0	0.5461265952456577	6.5
grp-12	T1	P3		6.0				4.0	-0.6480307875184801	5.0
grp-12	T1	P4		7.0				6.0	0.5461265952456577	6.5
grp-12	T2	P1	2.0			7.0	6.0		1.0614201559128484	6.5
grp-12	T2	P2	6.0			6.0	5.0		0.4465874939926557	5.5
grp-12	T2	P3	2.0			6.0	4.0		0.13507451632710205	5.0
grp-12	T2	P4	7.0			6.0	6.0		0.7581004716582094	6.0
grp-12	T3	P1			4.0		7.0	7.0	0.9582712500864553	7.0
grp-12	T3	P2			6.0		5.0	6.0	-0.4393053315811084	5.5
grp-12	T3	P3			5.0		6.0	6.0	0.031993196061693936	6.0
grp-12	T3	P4			4.0		4.0	7.0	-0.4556243328419519	5.5
grp-13	T1	P1		6.0				5.0	-0.2195266227673781	5.5
grp-13	T1	P2		7.0				5.0	0.11762243049455567	6.0
grp-13	T1	P3		5.0				6.0	-0.1281715112782099	5.5
grp-13	T1	P4		7.0				7.0	0.9746307599967596	7.0
grp-13	T2	P1				2.0			-1.5014324370604641	2.0
grp-13	T2	P2	4.0			5.0	7.0		0.7662937650691237	6.0
grp-13	T2	P3	4.0			5.0	7.0		0.7662937650691237	6.0
grp-13	T2	P4	1.0			2.0	4.0		-1.078204220691455	3.0
grp-13	T3	P1			5.0		6.0	3.0	-1.3329453830841829	4.5
grp-13	T3	P2			4.0			5.0	-0.7734651948493299	5.0
grp-13	T3	P3			7.0		7.0	6.0	0.5032917237044964	6.5
grp-13	T3	P4			6.0		7.0	6.0	0.5032917237044964	6.5
grp-14	T1	P1		5.0				6.0	-0.1281715112782099	5.5
grp-14	T1	P2		6.0				7.0	0.637481706734826	6.5
grp-14	T1	P3		5.0				5.0	-0.5566756760293119	5.0
grp-14	T1	P4		6.0				5.0	-0.2195266227673781	5.5
grp-14	T2	P1	4.0			6.0	7.0		1.069613449323763	6.5
grp-14	T2	P2	5.0			5.0	4.0		-0.16824516792753724	4.5
grp-14	T2	P3	6.0			6.0	6.0		0.7581004716582094	6.0
grp-14	T2	P4	3.0			4.0	5.0		-0.16005187451662292	4.5
grp-14	T3	P1			5.0		6.0	7.0	0.48697272244365286	6.5
grp-14	T3	P2			4.0		7.0	7.0	0.9582712500864553	7.0
grp-14	T3	P3			4.0		6.0	6.0	0.031993196061693936	6.0
grp-14	T3	P4			6.0		7.0	7.0	0.9582712500864553	7.0
grp-15	T1	P1		7.0				6.0	0.5461265952456577	6.5
grp-15	T1	P2		6.0				6.0	0.20897754198372392	6.0
grp-15	T1	P3		7.0				7.0	0.9746307599967596	7.0
grp-15	T1	P4		7.0				7.0	0.9746307599967596	7.0
grp-15	T2	P1	3.0			3.0	7.0		0.1596543965598451	5.0
grp-15	T2	P2	5.0			5.0	6.0		0.45478078740357003	5.5
grp-15	T2	P3	2.0			4.0	3.0		-0.7830778298477301	3.5
grp-15	T2	P4	3.0			2.0	3.0		-1.3897171983570087	2.5
grp-15	T3	P1			3.0		6.0	4.0	-0.8779658567022239	5.0
grp-15	T3	P2			5.0		6.0	6.0	0.031993196061693936	6.0
grp-15	T3	P3			4.0		4.0	6.0	-0.9106038592239108	5.0
grp-15	T3	P4			2.0		7.0	7.0	0.9582712500864553	7.0
grp-16	T1	P1		1.0				5.0	-1.905271889077047	3.0
grp-16	T1	P2		5.0				4.0	-0.985179840780414	4.5
