feature_name	level	units	description
speaking_time_s	participant	seconds	Total duration of SPK segments attributed to this participant.
speaking_share	participant	proportion [0,1]	Fraction of task duration this participant was speaking (SPK time / task duration).
turn_count	participant	count	Number of SPK annotation segments for this participant.
mean_turn_duration_s	participant	seconds	Mean duration of this participant's SPK segments.
median_turn_duration_s	participant	seconds	Median duration of this participant's SPK segments.
std_turn_duration_s	participant	seconds	Standard deviation of this participant's SPK segment durations.
mean_response_gap_ms	participant	milliseconds	Mean gap_prev_ms for SPK rows where gap > 0 ms; reflects how long this participant waits before taking a turn.
mean_trp_silence_ms	participant	milliseconds	Mean trp_silence_ms for SPK rows where TRP silence > 0; silence held at a transition-relevance place before speaking.
overlap_time_s	participant	seconds	Total time (from overlap_ms column) this participant's speech overlapped with someone else.
overlap_fraction	participant	proportion [0,1]	Ratio of overlap_time_s to speaking_time_s.
interruption_count	participant	count	Number of SPK rows with interruption_gap_ms < 0 (this participant was interrupted or started while someone else spoke).
interruption_rate_per_min	participant	count/minute	interruption_count divided by task duration in minutes.
backchannel_given_count	participant	count	Number of BCK rows produced by this participant (e.g. mm-hmm, yeah, uh-huh while another speaks).
backchannel_given_rate_per_min	participant	count/minute	backchannel_given_count divided by task duration in minutes.
backchannel_latency_mean_ms	participant	milliseconds	Mean bclatency_ms for this participant's BCK rows; how quickly they react with a backchannel after the main speaker's onset.
filled_pause_count	participant	count	Number of FP (filled pause, e.g. um, uh) rows for this participant.
filled_pause_rate_per_min	participant	count/minute	filled_pause_count divided by task duration in minutes.
breath_count	participant	count	Number of BRE (audible breath) rows for this participant.
task_duration_s	group	seconds	Estimated task duration (max offset − min onset across all rows).
n_active_speakers	group	count	Number of P1–P4 participants who produced at least one SPK segment.
total_turns	group	count	Sum of SPK segment counts across all active participants.
sil_time_s	group	seconds	Total duration of GROUP SIL rows (annotated group silences).
sil_fraction	group	proportion [0,1]	sil_time_s divided by task_duration_s.
sil_event_count	group	count	Number of GROUP SIL annotation rows.
laughter_count	group	count	Number of GROUP LAU (laughter) events.
laughter_time_s	group	seconds	Total duration of GROUP LAU events.
overlap_event_count	group	count	Number of GROUP OVL (overlap) annotation rows.
competitive_overlap_count	group	count	OVL rows with subtype 'competitive' or 'floor_fight' (speakers competing for the floor).
cooperative_overlap_count	group	count	OVL rows with cooperative subtypes: collaborative, smooth, simultaneous, or backchannel_ovl.
collaborative_overlap_count	group	count	OVL rows with subtype 'collaborative'.
needs_review_overlap_count	group	count	OVL rows with subtype 'needs_review' (ambiguous intent, requires manual review).
conflict_overlap_ratio	group	proportion [0,1]	competitive_overlap_count / (competitive_overlap_count + cooperative_overlap_count).
simultaneous_overlap_count	group	count	OVL rows with subtype 'simultaneous' (parallel speech without floor contest).
backchannel_ovl_count	group	count	OVL rows with subtype 'backchannel_ovl' (overlap caused by a backchannel during main speech).
transition_entropy_bits	group	bits	Shannon entropy of the inter-speaker turn-transition matrix. Higher values indicate more evenly distributed floor exchanges.
gini_speaking_time	group	Gini [0,1]	Gini coefficient of speaking_time_s across active participants. 0 = perfect equality; 1 = one participant speaks all the time.
engagement_density_per_min	group	count/minute	Total non-SIL annotation rows divided by task duration in minutes; proxy for overall interaction density.
