onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
152.885	0.260	P3	Ah okay so what we gave is the zero seven five and eight right that's what we gave and we received seven five. I felt like this was a mathematical exercise but it's actually more an exercise of how much do you trust the others that they also give something in the pool and I was like intermediate. I wanted to at least keep five or give five, um yeah, what did you think?	SPK		0.005986	0.72	mic9	manual					
185.000	9.000	P4	Yeah, I actually gave two to the community.	SPK				shared	manual	31855	31855	31855		
194.000	1.000	P3	Oh, wow.	SPK				shared	manual	0	0	0		
195.000	2.000	P3	So person one gave all.	SPK				shared	manual	0	0	1000		687
196.313	3.322	P3	Ah, I got it.	SPK		0.028110	6.25	mic12	manual	-687	-687	2313		3322
197.000	1.000	P3	Person two, three.	SPK				shared	manual	-2635	-2635	3000		1000
198.000	2.000	P3	I gave five.	SPK				shared	manual	0	0	4000		1635
200.000	4.000	P3	And person four gave two.	SPK				shared	manual	0	0	6000		
205.312	0.460	P3	Got it.	SPK		0.075601	4.83	mic11	manual	1312	1312	11312		
205.893	0.420	P4	Yeah, but I agree with you also because I guess maybe I needed more time to digest the exercise because, yes, then think a little bit more about what you give, then divide it equally and multiply it by 1.5 so we all get more.	SPK		0.115093	13.64	mic11	manual	121	121	121		
209.954	1.200	P4	Now I get it, yeah.	SPK		0.024533	11.30	mic11	manual	3641	3641	4182		
212.014	1.881	P3	mmh	SPK		0.020384	8.41	mic11	manual	860	860	860		
215.175	0.300	P4	I needed to think a little bit more about what you give, then divide it equally and multiply it by 1.5 so we all get more.	SPK		0.028209	9.15	mic11	manual	1280	1280	1280		
220.267	16.428	P3	mmh	SPK		0.030920	2.08	mic12	manual	4792	4792	4792		10795
224.000	0.100	P3	mmh	SPK				shared	manual	-12695	-12695	8525		100
226.000	1.000	P3	mmh	SPK				shared	manual	1900	1900	10525		1000
227.000	8.000	P2	but I didn't stay to go to calculate, I just was thinking about generally how I donate my money for example so that's why I always donate like a third or a quarter and so that's why.	SPK				shared	manual	0	0	0		8000
235.000	1.000	P3	mmh	SPK				shared	manual	0	0	0		1000
236.000	2.000	P2	so that's why I always donate like a third	SPK				shared	manual	0	0	0		695
238.000	4.000	P2	or a quarter	SPK				shared	manual	0	0	2000		1921
240.079	6.765	P3	mmh	SPK		0.034434	5.78	mic10	manual	-1921	-1921	-1921		5965
242.000	0.100	P3	mmh	SPK				shared	manual	-4844	-4844	0		300
242.000	0.100	P4	yeah	SPK				shared	manual	-100	-100	-100		300
242.000	2.000	P2	so that's why.	SPK				shared	manual	-100	-100	-100		2200
245.000	6.000	P3	Yeah	SPK				shared	manual	1000	1000	1000		5560
247.284	6.345	P4	I had more or less the same thinking because I didn't really know how to interpret these 10 tokens but I guess I assumed this is my monthly income that I get to spend on my family and now I need to give away, so actually I think in reality it would be even less. I gave two.	SPK		0.022421	1.49	mic10	manual	-3716	-3716	-3716		3936
253.003	0.220	UNK	yeah	SPK		0.029005	1.82	mic12	manual	-626	-626	-626		220
254.149	0.601	UNK	yeah	SPK		0.056504	2.75	mic10	manual	926	926	520		
258.000	3.000	P4	so actually I think in reality it would be even less. I gave two.	SPK				shared	manual	3250	3250	3250		
263.336	0.180	UNK	yeah	SPK		0.110026	1.39	mic10	manual	2336	2336	2336		172
263.344	0.880	P4	two I gave, I gave two.	SPK		0.169776	1.86	mic11	manual	-172	-172	-172		179
264.217	0.300	P3	I also thought a bit like you but then I thought okay but I'm also getting something back, so I'm not only donating, I'm getting back too, so I was a bit selfish and that's why I gave a bit more than I would have donated selflessly, gave everything.	SPK		0.048619	0.96	mic10	manual	-7	-7	-7		7
277.000	7.000	P2	So I made 2.5 but then I thought...	SPK				shared	manual	12483	12483	12483		
284.000	1.000	P1	I gave everything.	SPK				shared	manual	0	0	0		
285.000	1.000	P4	Aww. You're so generous.	SPK				shared	manual	0	0	0		1000
285.000	4.000	P3	You get a lot back.	SPK				shared	manual	-1000	-1000	-1000		3100
286.000	0.100	P1	With the logic.	SPK				shared	manual	-3000	-3000	-3000		100
287.000	13.000	P1	I thought someone would do that.	SPK				shared	manual	900	900	-2000		6100
289.000	4.000	P2	Oh sorry, that's the opposite.	SPK				shared	manual	-11000	-11000	-11000		4000
293.000	0.100	P3	You thought we all would do that.	SPK				shared	manual	0	0	0		100
300.483	0.140	P1	And that came out to be 75% correct, so.	SPK		0.164484	4.33	mic10	manual	7383	7383	7383		
304.885	0.181	P1	No.	SPK		0.032996	1.00	mic10	manual	4262	4262	11785		
305.086	0.140	P2	So in reality, you were selfish.	SPK		0.022655	0.89	mic10	manual	20	20	20		
311.870	3.024	P1	If we go with your logic, right, like with giving a quarter off to sharing, then if I would be doing that, right?	SPK		0.091515	2.43	mic9	manual	6644	6644	6644		
314.954	3.004	P2	Yes.	SPK		0.073628	1.13	mic9	manual	60	60	60		278
317.680	1.701	P3	Mh.	SPK		0.200367	3.15	mic10	manual	-278	-278	-278		278
319.912	23.762	P2	It was a joke.	SPK		0.049737	1.87	mic9	manual	531	531	531		11141
321.503	0.320	P2	Yes.	SPK		0.091716	0.60	mic10	manual	-22171	-22171	2122		320
323.000	3.000	P1	Yeah, yeah.	SPK				shared	manual	1177	1177	1177		3000
326.000	7.000	P1	So yeah and uh it is from the contribution so it's a bonus right so I thought keep it.	SPK				shared	manual	0	0	4177		7000
333.931	0.821	P2	See? Who thought that? Yes it was a nice exercise this one.	SPK		0.037310	3.75	mic10	manual	931	931	931		821
