onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
101.299	5.086	MODERATOR	And you can start your discussion whenever you think it's best.	SPK		0.003205	1.54	shared	manual						
106.385	0.681	GROUP	(0.7)	SIL				shared	manual	0.0					
107.066	1.061	MODERATOR	You have eight minutes.	SPK		0.003325	1.83	shared	manual	0.0	681.0			0.0	
108.127	84.733	GROUP	(84.7)	SIL				shared	manual	0.0				0.0	
192.86	1.221	P1	Should we start?	SPK		0.008384	4.93	mic9	manual	0.0	84733.0	84733.0		82.0	
193.999	0.851	P3	mm-hmm	BCK				shared	manual	-82.0			1139.0	1231.0	
194.081	2.273	GROUP	(2.3)	SIL				shared	manual	-769.0				1149.0	
194.325	0.38	P4	yeah	BCK		0.018084	3.01	mic12	manual	-2029.0				760.0	
196.354	1.08	P2	Yes, okay.	SPK		0.022125	3.59	mic10	manual	1649.0	2273.0	2273.0		0.0	
197.434	0.66	GROUP	(0.7)	SIL				shared	manual	0.0				401.0	
197.693	0.891	P2	[BRE]	BRE				shared	manual	-401.0				891.0	
198.094	1.101	P2	What's everyone thinking?	SPK		0.01154	4.8	mic10	manual	-490.0	660.0	4013.0		490.0	
199.195	5.182	GROUP	(5.2)	SIL				shared	manual	0.0				1481.0	
202.705	0.5	P3	mmh	BCK				shared	manual	-1672.0				500.0	
203.393	0.981	P1	mmh	BCK				shared	manual	188.0				981.0	
204.377	2.822	P3	So should we decide for a topic maybe first?	SPK		0.014261	5.34	mic11	manual	3.0	5182.0	5182.0			
207.199	0.646	GROUP	(0.6)	SIL				shared	manual	0.0					
207.845	3.161	P1	Should we start saying which topic we think we need to follow?	SPK		0.018691	3.53	mic9	manual	0.0	646.0	646.0			
211.006	1.5	GROUP	(1.5)	SIL				shared	manual	0.0				940.0	
211.169	0.44	P4	yeah	BCK		0.018116	1.21	mic12	manual	-1337.0				644.0	
211.405	0.5	P2	mm-hmm	BCK				shared	manual	-204.0				704.0	
212.506	2.001	P1	Yes.	SPK		0.010021	1.64	mic9	manual	601.0	1500.0	5307.0		2252.0	
213.066	0.811	P3	Yep.	SPK		0.003708	3.1	mic10	manual	-1441.0	-1441.0	-1441.0		1622.0	
213.066	0.811	P3	[OVL:competitive]	OVL	competitive			shared	uncertain	-811.0				1622.0	collaborative
213.877	1.17	GROUP	(1.2)	SIL				shared	manual	0.0				630.0	
215.047	1.841	P1	I vote for stress and workload.	SPK		0.015906	6.13	mic9	manual	0.0	1170.0	1170.0			
216.888	4.273	GROUP	(4.3)	SIL				shared	manual	0.0				1531.0	
218.255	1.531	P4	mmh	BCK				shared	manual	-2906.0				1531.0	
221.161	0.952	P2	Why?	SPK		0.023827	5.3	mic10	manual	1375.0	4273.0	4273.0		226.0	
222.0	2.571	P1	Well, because it’s important	SPK				shared	manual	-113.0	-113.0	-113.0		557.0	
222.0	0.113	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-2571.0				226.0	
224.24	6.411	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	2127.0				6411.0	
224.571	5.798	GROUP	(5.8)	SIL				shared	manual	-6080.0				5798.0	
230.369	0.901	P2	yeah	SPK		0.018978	1.55	mic10	manual	0.0	5798.0	5798.0		540.0	
231.141	1.819	P1	and everyone can suffer that	SPK				shared	manual	-129.0	-129.0	-129.0		258.0	
231.141	0.129	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-1819.0				258.0	
232.96	2.04	GROUP	(2.0)	SIL				shared	manual	1690.0				1051.0	
233.832	1.051	P2	mmh	BCK				shared	manual	-1168.0				1051.0	
235.0	15.12	P2	okay so I'm thinking maybe a good workshop could be um either how to work better across teams or how to use the AI for productivity in daily tasks	SPK				shared	manual	117.0	2040.0	2040.0			
250.12	3.565	GROUP	(3.6)	SIL				shared	manual	0.0				1491.0	
250.781	1.491	P2	um	FP				shared	manual	-2904.0				1491.0	
253.685	4.483	P2	I think it's relevant to what's going on at GN at the moment.	SPK		0.011587	5.02	mic10	manual	1413.0	3565.0	20725.0			
258.168	3.202	GROUP	(3.2)	SIL				shared	manual	0.0				500.0	
259.554	0.5	P4	mmh	BCK				shared	manual	-1816.0				500.0	
261.37	4.183	P2	And it also just helps with productivity and effectiveness.	SPK		0.005617	1.6	shared	manual	1316.0	3202.0	28410.0			
265.553	2.014	GROUP	(2.0)	SIL				shared	manual	0.0				500.0	
266.021	0.5	P4	mm-hmm	BCK				shared	manual	-1546.0				500.0	
267.567	7.4	P1	At the same time, there is uncertainty in the workplace now, so stress could be a good factor to consider.	SPK		0.02321	2.05	mic9	manual	1046.0	2014.0	2014.0		4537.0	
271.487	1.459	P2	yeah	BCK				shared	manual	-3480.0			3920.0	1827.0	
272.578	0.5	P3	yeah	BCK				shared	manual	-368.0			5011.0	868.0	
273.678	3.811	P2	But if you can get your work done quicker, then you can go home and	SPK		0.086014	2.41	mic10	manual	600.0	-1289.0	-1289.0		4016.0	
273.678	1.289	P2	[OVL:floor_fight]	OVL	floor_fight			shared	confident	-3811.0				2578.0	competitive
276.77	1.589	P1	Then you get more work.	SPK		0.068044	1.68	mic9	manual	1803.0	-719.0	-719.0		1486.0	
276.77	0.719	P1	[OVL:competitive]	OVL	competitive			shared	confident	-1589.0				1438.0	competitive
278.311	3.029	P1	Well no no more work you only have seven hours	SPK		0.044261	0.73	mic9	manual	822.0	-48.0	822.0		48.0	
281.34	0.442	GROUP	(0.4)	SIL				shared	manual	0.0					
281.782	3.811	P2	If you get it done early, then go home and relax.	SPK		0.015073	4.13	mic10	manual	0.0	442.0	442.0		304.0	
285.441	0.48	P1	Yeah, I’m not.	SPK		0.012113	5.81	mic9	manual	-152.0	-152.0	-152.0		304.0	
285.441	0.152	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-480.0				304.0	
285.921	0.461	GROUP	(0.5)	SIL				shared	manual	328.0				120.0	
286.262	1.261	GROUP	[SOFT LAUGHTER]	LAU				shared	manual	-120.0				1261.0	
286.382	2.131	P1	It depends which position you are, but...	SPK		0.033356	1.71	mic9	manual	-1141.0	461.0	789.0		1411.0	
