onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
12.463	6.402	MODERATOR	The final talk is going to be short, so sorry for being a little bit out of time, but it will be over soon.	SPK		0.006551	1.47	MOD	confident						
18.865	1.07	GROUP	(1.1)	SIL				shared	manual	0.0					
19.935	17.963	MODERATOR	Okay, so in this task, you have to imagine that, but try to, you know, act as it's real, that you all have these 10 tokens, you can think about them as money, and you can either keep them to yourself or contribute them to a community fund with your colleagues.	SPK		0.005508	1.46	MOD	confident	0.0	1070.0				
37.898	0.7	GROUP	(0.7)	SIL				shared	manual	0.0				0.0	
38.598	11.928	MODERATOR	If they get shared with the colleagues, every token gets multiplied by 1.5 and then the amount that's in the shared fund gets split equally among the participants.	SPK		0.005891	2.01	MOD	confident	0.0	700.0			0.0	
50.526	0.541	GROUP	(0.5)	SIL				shared	manual	0.0					
51.067	9.006	MODERATOR	So your final endowment would be what you kept plus the tokens in the shared ones divided by four.	SPK		0.004511	1.4	MOD	confident	0.0	541.0				
60.073	1.061	GROUP	(1.1)	SIL				shared	manual	0.0					
61.134	2.501	MODERATOR	Do you have any questions or can I continue?	SPK		0.002643	1.26	MOD	confident	0.0	1061.0				
63.635	13.274	GROUP	(13.3)	SIL				shared	manual	0.0					
76.909	0.641	MODERATOR	It's okay.	SPK		0.00212	1.05	MOD	confident	0.0	13274.0			0.0	
77.55	1.663	GROUP	(1.7)	SIL				shared	manual	0.0				0.0	
79.213	7.873	MODERATOR	For everyone I will send a contribution form and you need to decide between 0 and 10 tokens to contribute to the fund.	SPK		0.003664	1.13	MOD	confident	0.0	1663.0				
87.086	2.645	GROUP	(2.6)	SIL				shared	manual	0.0					
89.731	1.322	MODERATOR	You have one minute to decide.	SPK		0.003243	1.25	MOD	confident	0.0	2645.0				
91.053	54.692	GROUP	(54.7)	SIL				shared	manual	0.0					
145.745	12.177	MODERATOR	okay so if you've all decided i will now reveal the group contribution and you can just talk about it and then there will be another for just one minute and then there will be another discussion	SPK		0.003137	1.4	MOD	confident	0.0	54692.0				
157.922	54.96	GROUP	(55.0)	SIL				shared	manual	0.0					
212.882	3.363	MODERATOR	You can also discuss the outcome for a few minutes.	SPK		0.003313	1.21	MOD	confident	0.0	54960.0				
216.245	0.456	GROUP	(0.5)	SIL				shared	manual	0.0					
216.701	2.182	MODERATOR	I will also reveal each participant.	SPK		0.002375	1.13	MOD	confident	0.0	456.0				
218.883	1.179	GROUP	(1.2)	SIL				shared	manual	0.0				687.0	
