onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
213.827	2.761	P3	So I guess maybe talk a bit about what do we want for the role.	SPK		0.042909	6.75	mic11	manual					
216.588	1.001	GROUP	(1.0)	SIL				shared	manual	0				
217.589	4.622	P3	And it doesn't seem to me to be like very deeply technical.	SPK		0.024207	5.49	mic11	manual	0	1001			
222.211	0.921	GROUP	(0.9)	SIL				shared	manual	0				
223.132	7.243	P3	So maybe someone who can understand the business context and the stakeholders and stuff would be a good priority.	SPK		0.022661	5.35	mic11	manual	0	921			
230.395	0.520	P3	I don't know.	SPK		0.015760	5.15	mic11	manual	20	20			
230.935	0.821	P3	What do you think about that?	SPK		0.014725	5.78	mic11	manual	20	20			
231.756	2.008	GROUP	(2.0)	SIL				shared	manual	0				
233.764	6.103	P2	Yeah, I think this role doesn't require like a very large number of years of experience.	SPK		0.012047	5.06	mic10	manual	0	2008	2008		0
239.867	0.921	GROUP	(0.9)	SIL				shared	manual	0				0
240.788	22.531	P2	Something around two to three years should be good enough if the person understands the basics well and has some previous background of having put out tools and using different methodologies and exploring on his own.	SPK		0.011300	4.60	mic10	manual	0	921	9032		
263.319	6.648	GROUP	(6.6)	SIL				shared	manual	0				4000
265.000	4.000	P1	Yeah	BCK				shared	manual	-4967				4000
269.967	1.600	P4	Yeah, I agree with that.	SPK		0.040057	10.63	mic12	manual	967	6648	6648		0
271.567	1.321	GROUP	(1.3)	SIL				shared	manual	0				0
272.888	9.741	P4	I think we should prioritize somebody who's good at communication rather than technical expertise for this role.	SPK		0.033182	9.78	mic12	manual	0	1321	9569		0
282.629	0.380	GROUP	(0.4)	SIL				shared	manual	0				
283.009	4.921	P4	So that would exclude, I think, if I'm correct, candidate B.	SPK		0.027647	9.44	mic12	manual	0	380	19690		
287.930	0.880	GROUP	(0.9)	SIL				shared	manual	0				
288.810	8.802	P4	So either A or C, depending on, I guess, the qualities that you guys prefer about either of those two.	SPK		0.022802	4.10	mic12	manual	0	880	25491		500
293.509	0.500	P3	mmh	BCK				shared	manual	-4103			4699	500
297.612	4.916	GROUP	(4.9)	SIL				shared	manual	3603				689
300.587	0.220	P3	yeah	BCK		0.018109	7.76	mic11	manual	-1941				220
302.059	2.000	P3	um	FP				shared	manual	1252				2000
302.528	5.583	P1	I think also for this role, it would be important with someone with strong communication skills.	SPK		0.020948	6.07	mic9	manual	-1531	4916	4916		1531
308.111	0.220	GROUP	(0.2)	SIL				shared	manual	0				0
308.331	11.146	P1	So I'm drawn to candidate A, who is probably able to communicate across all departments and give proper feedback.	SPK		0.017642	6.13	mic9	manual	0	220	10719		0
319.477	2.161	GROUP	(2.2)	SIL				shared	manual	0				0
321.638	13.706	P4	Yes, I think Candidate C also has good communication skills based on the tweets that we can read about his personality at least.	SPK		0.026232	3.46	mic12	manual	0	2161	2161		1000
327.547	0.500	P2	mh	BCK				shared	manual	-7797			5909	500
333.969	0.500	P1	mmh	BCK				shared	manual	5922			12331	500
335.344	0.064	GROUP	(.)	SIL				shared	manual	875				
335.408	8.546	P3	They have helped other people in the past understand why this technology is useful.	SPK		0.031686	4.88	mic11	manual	0	64	64		500
339.267	0.500	P2	mh	BCK				shared	manual	-4687			3859	500
343.954	0.760	GROUP	(0.8)	SIL				shared	manual	4187				
344.714	4.128	P3	So I think that's a very helpful testament to their skill.	SPK		0.025901	6.98	mic11	manual	0	760	9370		
348.842	1.194	GROUP	(1.2)	SIL				shared	manual	0				
350.036	16.045	P3	um yeah help alignment and stuff help alignment between different stakeholders um but i don't know how much experience they have like in general how much uh yeah	SPK		0.029051	5.52	mic11	manual	0	1194	14692		362
365.900	2.099	P4	It doesn't really mention that, right?	SPK		0.023854	1.19	mic12	manual	-181	-181	-181		1836
365.900	0.181	P4	[OVL:smooth]	OVL	smooth			shared	manual	-2099				362
367.262	16.792	P2	Yeah, when it says basic data analysis skills, I feel this role would require at least some sort of solid experience in machine learning because that is the future of AI, right?	SPK		0.011373	1.57	mic10	manual	1181	-737	-737		1474
367.262	0.737	P2	[OVL:competitive]	OVL	competitive			shared	manual	-16792				1474
384.054	0.881	GROUP	(0.9)	SIL				shared	manual	16055				121
384.814	0.500	P4	mm-hmm	BCK				shared	manual	-121				500
384.935	12.638	P2	So I feel five years of experience is maybe too much, but at least candidate B has a good number of decent experience in that sense.	SPK		0.012127	4.46	mic10	manual	-379	881	16936		379
397.573	4.083	GROUP	(4.1)	SIL				shared	manual	0				
401.656	9.211	P2	and technical work quality is also very required I guess for this skill if you have to implement new…	SPK		0.026643	3.92	mic11	manual	0	4083	33657		2052
410.000	19.952	P3	I think it's more about as I understand it like um identifying the use cases and adopting it and stuff so I guess you don't need to be get your hands that dirty as I like as I kind of understand it's more about change management and stuff like that um	SPK				shared	manual	-867	-867	-867		4415
410.000	0.867	P3	[OVL:competitive]	OVL	competitive			shared	manual	-19952				2052
410.549	0.500	P2	mmh	BCK				shared	manual	-318			549	1136
420.824	0.320	P2	okay	BCK		0.015768	4.29	mic10	manual	9775			10824	320
428.091	2.000	P3	um	FP				shared	manual	6947				2000
429.952	2.740	GROUP	(2.7)	SIL				shared	manual	-139				639
431.259	0.500	P2	yeah	BCK				shared	manual	-1433				500
432.692	0.701	P4	Yeah, I agree with that.	SPK		0.054260	10.22	mic12	manual	933	2740	2740		0
433.393	0.240	GROUP	(0.2)	SIL				shared	manual	0				0
433.633	8.367	P4	I think it, yeah, either has to be A or C based on other factors.	SPK		0.027368	9.91	mic12	manual	0	240	3681		
442.000	0.100	GROUP	(.)	SIL				shared	manual	0				
442.100	5.204	P4	I think technicality is not really required for this.	SPK		0.028365	9.27	mic12	manual	0	100	12148		0
447.304	2.763	GROUP	(2.8)	SIL				shared	manual	0				1000
448.425	0.500	P3	yeah	BCK				shared	manual	-1642				500
449.556	0.500	P2	mmh	BCK				shared	manual	631				500
450.067	3.549	P4	It's very hard to choose just from these four lines.	SPK		0.042967	9.54	mic12	manual	11	2763	20115		
453.616	0.384	GROUP	(0.4)	SIL				shared	manual	0				
454.000	24.000	P3	Yeah	SPK				shared	manual	0	384	384		49086
454.064	21.929	P3	I would probably go with C I think would be my preferred one but A is also a strong candidate and B is not necessarily very preferred in my mind because B is more technical so they would maybe work with the other candidate for like another position	SPK		0.028673	1.95	mic11	manual	-23936	-23936	448		47079
