onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
189.892	1.872	MODERATOR	Now you have seven minutes.	SPK				shared	confident					
191.764	17.842	GROUP	(17.8)	SIL				shared	manual	0				2792
203.806	0.925	P1	right	BCK				shared	manual	-5800				925
205.314	0.500	P1	[BRE]	BRE				shared	manual	583				500
206.541	0.500	P1	ehm	BCK				shared	manual	727				500
208.739	2.000	P1	[SOFT LAUGHTER]	LAU				shared	manual	1698				2000
209.606	5.154	P3	So, I mean, I have three profiles and I guess you have the same ones. That bit I didn’t get fully.	SPK				shared	confident	-1133	17842	17842		2464
213.429	2.000	GROUP	[LAUGHTER]	LAU				shared	manual	-1331				2639
214.760	0.780	GROUP	(0.8)	SIL				shared	manual	-669				1420
214.790	2.000	GROUP	[LAUGHTER]	LAU				shared	manual	-750				3139
215.539	0.500	P1	I guess	BCK				shared	manual	-1251				1000
215.540	1.983	P3	But I see one that is like a manager.	SPK				shared	confident	-499	780	23776		2795
217.000	6.824	P3	I see basically like someone who is like, ah, okay, deadlines and project manager and stuff like that.	SPK				shared	confident	-523	-523	25236		2694
217.000	0.523	P3	[OVL:competitive]	OVL	competitive			shared	manual	-6824				1046
223.000	5.763	P3	Then one who is like a nerd who likes basically executing himself.	SPK				shared	confident	5477	-824	31236		3211
223.000	0.824	P3	[OVL:competitive]	OVL	competitive			shared	manual	-5763				1648
228.000	2.000	P3	And the other one is a good communicator.	SPK				shared	confident	4176	-763	36236		2026
228.000	0.763	P3	[OVL:competitive]	OVL	competitive			shared	manual	-2000				1563
228.726	0.500	P1	Ah	BCK				shared	manual	-37			726	574
230.000	1.000	P3	That's how I understood.	SPK				shared	confident	774	0	38236		
231.000	1.332	P3	Do you understand the same?	SPK				shared	confident	0	0	39236		
232.332	0.668	GROUP	(0.7)	SIL				shared	manual	0				367
232.633	0.928	P1	uhm	BCK				shared	manual	-367				928
233.000	2.829	P1	Yeah. I agree	SPK				shared	confident	-561	668	668		1561
234.511	0.500	P1	yeah	BCK				shared	manual	-1318				850
234.661	0.500	P1	yeah	BCK				shared	manual	-350				850
235.829	4.102	GROUP	(4.1)	SIL				shared	manual	668				2590
237.023	1.590	P1	[SOFT LAUGHTER]	LAU				shared	manual	-2908				1590
239.023	0.500	P1	yeah	BCK				shared	manual	410				958
239.065	0.500	P1	yeah	BCK				shared	manual	-458				958
239.931	2.341	P3	and agree on one final candidate as a group?	SPK				shared	confident	366	4102	4102		0
242.272	1.236	GROUP	(1.2)	SIL				shared	manual	0				0
243.508	0.920	P3	okay cool	SPK				shared	confident	0	1236	7679		856
244.000	1.104	P1	Maybe we should	SPK				shared	confident	-428	-428	-428		856
244.000	0.428	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-1104				856
245.104	0.696	GROUP	(0.7)	SIL				shared	manual	676				513
245.287	2.000	P1	[OVL:collaborative]	OVL	collaborative			shared	manual	-513				2574
245.800	1.502	P4	See where we’re all standing?	SPK				shared	confident	-1487	696	696		2091
247.000	3.000	P1	Yeah, define what would be a good candidate for this position, I guess.	SPK				shared	confident	-302	-302	-302		891
247.000	0.302	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-3000				891
250.000	1.000	P3	yeah	BCK				shared	confident	2698				1000
250.000	1.000	GROUP	(1.0)	SIL				shared	manual	-1000				1000
251.000	1.000	P4	Okay.	SPK				shared	confident	0	1000	1000		
252.000	0.100	P1	I don't know.	SPK				shared	confident	0	0	0		200
252.000	11.000	P1	From my point of view, it's more like the project coordinating kind of type rather than the very technical one.	SPK				shared	confident	-100	-100	0		200
252.000	0.100	P1	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-11000				200
263.000	1.149	P3	yeah, that one no	SPK				shared	confident	10900	0	0		2298
263.000	3.320	P1	Yeah, because it's not about developing the AI.	SPK				shared	confident	-1149	-1149	-1149		2938
263.000	1.149	P1	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-3320				2298
266.000	2.000	P1	It's more about the adoption part of it.	SPK				shared	confident	1851	-320	1851		640
266.000	0.320	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-2000				640
268.000	1.000	P3	And from the other two, then?	SPK				shared	confident	1680	0	0		
269.000	3.000	P3	Do you have a preference?	SPK				shared	confident	0	0	1000		
272.000	0.278	GROUP	(0.3)	SIL				shared	manual	0				
272.278	7.040	P2	I think it really depends on what is, uh, the focus of this position, right?	SPK				shared	confident	0	278	278		2636
278.000	7.000	P2	Because I understand it as more of the transformation across different departments. That’s the focus right?	SPK				shared	confident	-1318	-1318	6000		3067
278.000	1.318	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-7000				2636
284.776	0.500	P3	yes	BCK	collaborative			shared	manual	5458			6776	983
284.793	0.500	P3	yeah	BCK	collaborative			shared	manual	-483			6793	983
285.000	10.000	P2	So if you have some sort of introductory knowledge to programming, it might be good, but not necessary to know advanced machine learning and stuff like that.	SPK				shared	confident	-293	0	13000		1069
289.822	0.500	P3	yeah	BCK	collaborative			shared	manual	-5178			4822	500
295.000	1.000	P1	yeah	BCK				shared	confident	4678				1500
295.000	1.000	GROUP	(1.0)	SIL				shared	manual	-1000				1500
295.408	0.500	P1	m-mh	BCK	collaborative			shared	manual	-592				1000
296.000	2.000	P3	Yes.	SPK				shared	confident	92	1000	1000		
298.000	1.000	P3	Yeah, I agree.	SPK				shared	confident	0	0	3000		
299.000	3.000	P4	I agree.	SPK				shared	confident	0	0	0		
302.000	2.000	P3	Like for me it was the C	SPK				shared	confident	0	0	0		
304.000	1.000	P1	yeah	BCK				shared	confident	0				1000
304.000	0.811	GROUP	(0.8)	SIL				shared	manual	-1000				811
304.811	1.509	P4	yes, that was my	SPK				shared	manual	0	811	811		2029
305.000	1.000	P3	right?	BCK				shared	confident	-1320			189	1000
306.000	0.100	P3	Yeah, right?	SPK				shared	confident	0	-320	-320		400
306.000	0.100	P4	yeah,	BCK				shared	confident	-100			0	400
306.000	2.000	P4	yeah,	BCK				shared	confident	-100			0	2520
306.000	0.100	P3	[OVL:smooth]	OVL	smooth			shared	manual	-2000				400
306.100	0.220	GROUP	(0.2)	SIL				shared	manual	0				440
306.320	1.651	P1	I'm also about the C	SPK				shared	manual	0	220	220		1651
307.971	0.854	GROUP	(0.9)	SIL				shared	manual	0				529
308.069	0.500	P1	yeah	BCK				shared	manual	-756				500
