onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
14.615	5.962	MODERATOR	So again, a few seconds, please.	SPK		0.007927	1.07	MOD	confident					
20.577	3.521	GROUP	(3.5)	SIL				shared	manual	0				0
24.098	0.340	MODERATOR	Perfect.	SPK		0.003447	1.26	MOD	confident	0	3521			0
24.478	0.360	MODERATOR	Thank you.	SPK		0.002904	1.24	MOD	confident	40	40			
24.838	2.374	GROUP	(2.4)	SIL				shared	manual	0				
27.212	7.222	MODERATOR	In this task, you have 10 tokens each, which can be money or whatever you like.	SPK		0.003976	1.44	MOD	confident	0	2374			
34.434	0.400	GROUP	(0.4)	SIL				shared	manual	0				
34.834	2.921	MODERATOR	So it's just a representative of something.	SPK		0.002789	1.59	MOD	confident	0	400			
37.755	1.400	GROUP	(1.4)	SIL				shared	manual	0				
39.155	6.282	MODERATOR	And then you privately decide on how many of these tokens you want to contribute in the community fund.	SPK		0.003742	1.48	MOD	confident	0	1400			
45.437	2.561	GROUP	(2.6)	SIL				shared	manual	0				
47.998	8.322	MODERATOR	And the ones that you put in the community funds get multiplied by 1.5 and then split equally among all participants.	SPK		0.003611	1.42	MOD	confident	0	2561			
56.320	2.023	GROUP	(2.0)	SIL				shared	manual	0				
58.343	27.745	MODERATOR	and your total tokens will be the one that you kept privately plus the ones that you get from community bank so when I send the contribution form you should select a number from 0 to 10 which means the number you want to put into the community bank	SPK		0.003826	1.18	MOD	confident	0	2023			0
86.088	2.489	GROUP	(2.5)	SIL				shared	manual	0				0
88.577	0.260	MODERATOR	Great.	SPK		0.003811	1.77	MOD	confident	0	2489			
88.837	0.921	GROUP	(0.9)	SIL				shared	manual	0				0
89.758	0.280	MODERATOR	Please.	SPK		0.009224	1.53	MOD	confident	0	921			0
90.038	2.525	GROUP	(2.5)	SIL				shared	manual	0				324
91.342	0.324	P1	Okay.	BCK		0.016827	1.18	P1	confident	-1221				324
92.563	0.992	P1	Wow, ok.	SPK				P1	confident	897	2525	2525		
93.555	1.620	GROUP	(1.6)	SIL				shared	manual	0				0
95.175	1.341	P2	Very secret, secret stuff.	SPK		0.005588	2.66	P2	confident	0	1620	1620		0
96.516	0.660	GROUP	(0.7)	SIL				shared	manual	0				
97.176	0.441	P2	It's a winner.	SPK		0.018722	4.71	P2	confident	0	660	3621		
97.617	24.804	GROUP	(24.8)	SIL				shared	manual	0				50
98.554	0.050	P3	[SOFT LAUGHTER]	LAU				P3	manual	-23867				50
122.421	42.131	MODERATOR	Now we can reveal the community outcome. So, from the community part each of you received 10.20 tokens. So you can individually calculate your own tokens. But now we will share all the tokens that you have on the screen and you have three minutes to discuss.	SPK		0.003243	1.46	MOD	confident	23817	24804	24804		0
164.552	0.574	GROUP	(0.6)	SIL				shared	manual	0				0
165.126	2.673	P2	Oh, I am so generous.	SPK		0.011223	4.75	P2	confident	0	574	574		3609
165.731	1.541	P1	Okay.	SPK		0.047346	1.80	P1	confident	-2068	-2068	-2068		3082
165.731	1.541	P1	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1541				3082
167.272	2.115	GROUP	(2.1)	SIL				shared	manual	0				527
169.387	1.961	P3	No, no, you are not generous.	SPK		0.049772	4.21	P3	confident	0	2115	2115		
171.348	4.132	GROUP	(4.1)	SIL				shared	manual	0				0
175.480	2.289	P1	You're not generous, you have three of them.	SPK		0.053640	3.00	P1	confident	0	4132	4132		2001
175.627	0.592	P4	Okay.	BCK				P4	manual	-2142			147	592
177.009	0.649	P3	Three.	SPK				P3	manual	790	-760	-760		1298
177.009	0.649	P3	[OVL:competitive]	OVL	competitive			shared	manual	-649				1298
177.658	0.464	GROUP	(0.5)	SIL				shared	manual	0				111
178.122	1.201	P1	I'm the most generous one.	SPK		0.056885	1.91	P1	confident	0	464	464		2803
178.363	1.990	P2	Oh, jesus christ..	SPK				P2	manual	-960	-960	-960		3842
178.363	0.960	P2	[OVL:competitive]	OVL	competitive			shared	manual	-1990				2803
178.440	3.760	P4	[SOFT LAUGHTER]	LAU				P4	manual	-883				5557
180.344	1.200	P1	And you are the one...	SPK		0.064670	2.87	P1	confident	-1856	-9	-9		1231
181.522	1.460	P3	No, you are the less generous.	SPK		0.088797	2.08	P3	confident	-22	-22	-22		700
182.982	0.100	GROUP	(.)	SIL				shared	manual	0				
183.082	1.061	P3	No, you gave zero.	SPK		0.045216	8.47	P3	confident	0	100	1538		
184.143	0.324	GROUP	(0.3)	SIL				shared	manual	0				
184.467	0.863	P1	I gave ten.	SPK				shared	manual	0	324	324		
185.330	0.635	GROUP	(0.6)	SIL				shared	manual	0				
185.965	1.400	P4	Yeah, this is the one...	SPK		0.040960	1.54	P4	confident	0	635	635		1594
186.568	1.181	P1	I gave all of it.	SPK		0.074912	1.50	P1	confident	-797	-797	-797		1594
186.568	0.797	P1	[OVL:competitive]	OVL	competitive			shared	manual	-1181				1594
187.749	0.296	GROUP	(0.3)	SIL				shared	manual	384				0
188.045	0.500	P4	All of it.	SPK		0.006482	1.83	P4	confident	0	296	296		
188.545	0.264	GROUP	(0.3)	SIL				shared	manual	0				
188.809	1.392	P1	I gave all to the pool.	SPK				shared	manual	0	264	264		
190.201	0.354	GROUP	(0.4)	SIL				shared	manual	0				
190.555	1.321	P2	I think I misunderstood then.	SPK		0.040014	4.78	P2	confident	0	354	354		902
190.555	0.412	P2	[SOFT LAUGHTER]	LAU				P2	manual	-1321				821
190.558	0.490	P4	Yeah.	BCK				P4	manual	-409			3	899
191.876	2.630	GROUP	(2.6)	SIL				shared	manual	828				
194.506	1.360	P3	You gave all to the pool.	SPK		0.089547	1.85	P3	confident	0	2630	2630		206
195.660	0.522	P1	Yeah.	BCK				P1	manual	-206			1154	522
195.866	1.224	GROUP	(1.2)	SIL				shared	manual	-316				316
197.090	1.660	P4	So it's about giving to the pool?	SPK		0.102690	1.65	P4	confident	0	1224	1224		524
198.488	4.507	P1	You, yeah, I gave all to the pool and you gave only three to the pool, right?	SPK		0.066526	1.84	P1	confident	-262	-262	-262		3523
198.488	0.262	P1	[OVL:smooth]	OVL	smooth			shared	manual	-4507				524
201.012	0.648	P4	Yeah.	BCK				P4	manual	2262			2524	648
201.748	0.500	P3	The three.	SPK		0.059831	1.36	P3	confident	88	-1247	-1247		1000
201.748	0.500	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-500				1000
202.248	0.541	GROUP	(0.5)	SIL				shared	manual	0				733
202.597	0.571	P4	Yeah.	BCK				P4	manual	-192			4109	1205
202.789	0.680	P3	Ah, ah, okay.	SPK		0.115549	2.86	P3	confident	-379	541	-206		1640
202.789	0.206	P3	[OVL:smooth]	OVL	smooth			shared	manual	-680				618
203.153	0.260	P1	Yeah.	SPK		0.054515	0.57	P1	confident	158	-316	-316		752
203.153	0.260	P1	[OVL:smooth]	OVL	smooth			shared	manual	-260				752
203.196	0.632	P4	Yeah.	BCK				P4	manual	-217			43	1122
203.413	0.156	GROUP	(.)	SIL				shared	manual	-415				212
203.569	3.722	P3	And then we both gave seven to the pool.	SPK		0.046090	3.47	P3	confident	0	156	156		259
207.291	0.080	GROUP	(.)	SIL				shared	manual	0				
207.371	0.321	P3	Okay.	SPK		0.062552	0.74	P3	confident	0	80	3958		400
207.492	2.621	P4	Yeah, I was... Yeah, yeah, yeah, cool.	SPK		0.065121	1.08	P4	confident	-200	-200	-200		7323
207.492	0.200	P4	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-2621				400
207.772	0.260	P3	Okay.	SPK		0.085275	0.58	P3	confident	80	-2341	-2341		520
207.772	0.260	P3	[OVL:smooth]	OVL	smooth			shared	manual	-260				520
208.070	1.601	P2	Yeah, yeah, yeah, yeah.	SPK		0.070693	1.12	P2	confident	38	38	38		5761
208.070	1.601	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1601				5761
208.292	0.360	P3	Ah, okay.	SPK		0.094229	5.50	P3	confident	-1379	-1379	-1379		1800
208.292	0.360	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-360				1800
208.292	0.360	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-360				1800
208.672	0.240	P3	Yeah,	SPK		0.057174	2.34	P3	confident	20	20	-999		1200
208.672	0.240	P3	[OVL:smooth]	OVL	smooth			shared	manual	-240				1200
208.672	0.240	P3	[OVL:smooth]	OVL	smooth			shared	manual	-240				1200
208.912	0.979	GROUP	(1.0)	SIL				shared	manual	0				2497
209.891	0.200	P2	Cool.	SPK		0.043410	5.35	P2	confident	0	979	979		400
209.891	0.200	P2	[OVL:smooth]	OVL	smooth			shared	manual	-200				400
210.091	0.201	GROUP	(0.2)	SIL				shared	manual	0				22
210.292	0.500	P2	Okay, yes.	SPK		0.019418	2.15	P2	confident	0	201	1380		
210.792	1.695	GROUP	(1.7)	SIL				shared	manual	0				
212.487	0.861	P2	Now I get the math.	SPK		0.039448	5.20	P2	confident	0	1695	3575		
213.348	1.090	GROUP	(1.1)	SIL				shared	manual	0				0
214.438	1.120	P1	It's a bit too late though.	SPK		0.103235	2.00	P1	confident	0	1090	1090		458
215.329	1.617	P2	So you are not generous.	SPK				P2	manual	-229	-229	-229		1122
215.329	0.229	P2	[OVL:smooth]	OVL	smooth			shared	manual	-1617				458
216.614	2.041	P4	Yeah, he told me that nobody will reveal it.	SPK		0.139338	9.15	P4	confident	1056	-332	-332		664
216.614	0.332	P4	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-2041				664
218.655	3.247	GROUP	(3.2)	SIL				shared	manual	1709				
221.902	0.341	P2	Nah.	SPK		0.031614	6.29	P2	confident	0	3247	3247		
222.243	2.387	GROUP	(2.4)	SIL				shared	manual	0				
224.630	1.061	P1	Yeah.	SPK		0.018987	6.34	P1	confident	0	2387	2387		
225.731	0.521	P1	You're the winner.	SPK		0.059608	6.06	P1	confident	40	40	3488		
226.272	0.541	P1	You got it all.	SPK		0.057454	6.05	P1	confident	20	20	4029		
226.813	0.260	GROUP	(0.3)	SIL				shared	manual	0				
227.073	7.082	P4	Yeah, yeah, that's what I want to be.	SPK		0.040305	1.21	P4	confident	0	260	260		7668
228.143	0.961	P3	That you got the...	SPK		0.088657	2.98	P3	confident	-6012	-6012	-6012		1922
228.143	0.961	P3	[OVL:competitive]	OVL	competitive			shared	manual	-961				1922
229.104	2.553	GROUP	(2.6)	SIL				shared	manual	0				2553
231.657	0.100	P2	Oh.	SPK		0.016973	4.55	P2	confident	0	2553	2553		200
231.657	0.100	P2	[OVL:smooth]	OVL	smooth			shared	manual	-100				200
231.757	1.803	GROUP	(1.8)	SIL				shared	manual	0				1803
233.560	0.641	P2	I'm boozled.	SPK		0.011193	4.75	P2	confident	0	1803	4456		1190
233.560	0.595	P2	[OVL:competitive]	OVL	competitive			shared	manual	-641				1190
234.201	0.321	GROUP	(0.3)	SIL				shared	manual	46				
234.522	0.220	P2	Anyway.	SPK		0.004741	3.58	P2	confident	0	321	5418		
234.742	0.293	GROUP	(0.3)	SIL				shared	manual	0				
235.035	1.649	P4	So what's the aim of this?	SPK		0.104241	2.25	P4	confident	0	293	293		1806
235.781	5.142	P1	But did you... what was you expectation, the opposite or? Just wondering.	SPK				P1	manual	-903	-903	-903		4320
235.781	0.903	P1	[OVL:competitive]	OVL	competitive			shared	manual	-5142				1806
239.666	1.481	P3	No, I understood.	SPK		0.109932	2.89	P3	confident	2982	-1257	-1257		2514
239.666	1.257	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1481				2514
241.167	2.341	P3	I gave seven.	SPK		0.071275	2.62	P3	confident	244	20	244		987
242.177	0.987	P4	Yeah, yeah.	BCK		0.043834	0.72	P4	confident	-1331			1010	987
243.508	0.468	GROUP	(0.5)	SIL				shared	manual	344				
243.976	0.341	P3	Yeah.	SPK		0.038219	1.75	P3	confident	0	468	3053		
244.337	0.160	P1	Okay	SPK		0.053960	0.89	P1	confident	20	20	20		208
244.393	0.315	P2	Yeah, yeah.	SPK		0.070772	0.77	P2	confident	-104	-104	-104		446
244.393	0.104	P2	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-315				208
244.589	2.100	P3	But you understood it the opposite, or what?	SPK		0.071098	5.13	P3	confident	92	-119	-119		1090
244.589	0.119	P3	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-2100				238
246.263	9.552	P2	No, no. I didn't understand the math of it, like oh, zero, but I thought the first plus was how much you give, how much you had remaining, so..	SPK				P2	manual	1555	-426	-426		10584
246.263	0.426	P2	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-9552				852
248.591	1.987	P3	Ah, okay, this math, yeah.	SPK		0.076738	1.96	P3	confident	1902	-7224	-7224		3974
248.591	1.987	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1987				3974
250.578	4.716	GROUP	(4.7)	SIL				shared	manual	0				4716
255.294	1.541	P3	Yeah, I was also thinking.	SPK		0.037853	2.20	P3	confident	0	4716	-521		1073
255.294	0.521	P3	[OVL:competitive]	OVL	competitive			shared	manual	-1541				1042
256.804	0.280	P2	Yeah.	SPK		0.017759	1.94	P2	confident	989	-31	-31		31
257.084	0.052	GROUP	(.)	SIL				shared	manual	0				
257.136	1.873	P4	So what is this community fun about?	SPK		0.047017	9.34	P4	confident	0	52	52		
259.009	4.119	GROUP	(4.1)	SIL				shared	manual	0				0
263.128	27.312	P2	See this we had some money we could invest and then there's you get something back right but we just all pull money in but the gain after investment is shared between us so it's how much do you want to put in in this community shared investment we're doing without you know we know you've got one fourth of what is remaining but you were told you we didn't know how much you would put in everybody have let's say	SPK		0.023086	1.31	P2	confident	0	4119	4119		6095
270.824	1.000	P4	Mhm.	BCK				P4	manual	-19616			7696	1000
278.470	0.747	P4	Yeah, yeah.	BCK				P4	manual	6646			15342	747
288.266	7.564	P4	So if everybody have, let's say, invested all of it, we would have gained collectively the most possible money.	SPK		0.039490	2.31	P4	confident	9049	-2174	-2174		10770
288.266	2.174	P4	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-7564				4348
