group_id	task_id	window_index	window_start_s	n_participants	n_physio_valid	group_hr_mean_bpm_mean	group_hr_mean_bpm_std	group_hrv_rmssd_ms_mean	group_hrv_rmssd_ms_std	group_eda_tonic_mean_mean	group_eda_tonic_mean_std	group_eda_phasic_rate_hz_mean	group_eda_phasic_rate_hz_std	group_temp_mean_mean	group_temp_mean_std	tr_spk_count	tr_spk_duration_s	tr_silence_duration_s	tr_backchannel_count	tr_overlap_count	tr_competitive_overlap	tr_cooperative_overlap	tr_collaborative_overlap	tr_needs_review_overlap	tr_conflict_overlap_ratio	tr_laughter_count	tr_filled_pause_count	tr_n_active_speakers	tr_speaking_entropy	tr_overlap_time_s	group_et_pupil_mean_mean	group_et_pupil_mean_std	group_et_pupil_std_mean	group_et_pupil_std_std	group_et_pupil_slope_per_s_mean	group_et_pupil_slope_per_s_std	group_et_blink_rate_per_min_mean	group_et_blink_rate_per_min_std	group_et_gaze_dispersion_mean	group_et_gaze_dispersion_std	group_et_gaze_valid_frac_mean	group_et_gaze_valid_frac_std	group_et_gaze_velocity_mean_mean	group_et_gaze_velocity_mean_std	tr_ovl_simultaneous	tr_ovl_backchannel	tr_ovl_smooth	tr_ovl_competitive_timing	tr_ovl_floor_fight	tr_ovl_context_collaborative	tr_ovl_context_competitive	tr_ovl_long_ratio	tr_ovl_short_ratio	tr_ovl_collaboration_index
grp-07	T1	0	0.0	4	4	61.0829	10.6771	137.5907	54.5579	0.1215	0.0566	0.2002	0.2831	36.0375	0.9333	5.0	43.972	0.0	1.0	4.0	3.0	1.0	1.0	0.0	0.75	0.0	0.0	2.0	0.9412	66.908	2.8745	0.1961	0.2886	0.203	-0.0023	0.005	20.0037	13.859	0.1832	0.0403	0.7924	0.2923	1.0927	1.0907	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0
grp-07	T1	1	30.0	4	4	61.7098	8.7818	160.2629	58.6976	0.1231	0.0587	0.1753	0.2238	36.0427	0.9484	5.0	52.015	1.917	0.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	-0.0	53.916	2.7528	0.3888	0.2419	0.1464	-0.0001	0.0012	16.6808	15.2883	0.1172	0.0643	0.7351	0.4313	0.6156	0.092	0.0	0.0	0.0	2.0	5.0	0.0	0.0	1.0	0.0	0.0
grp-07	T1	2	60.0	4	4	61.7187	5.7628	156.4252	42.3272	0.1241	0.0604	0.1668	0.2002	36.0457	0.9465	4.0	47.768	2.208	0.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.8592	137.858	2.821	0.2681	0.2582	0.1281	0.001	0.0017	24.6876	14.4806	0.1596	0.0518	0.7416	0.357	1.1712	0.9845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	3	90.0	4	4	64.4445	6.2039	154.3695	31.5472	0.1213	0.0637	0.1751	0.2457	36.0486	0.9441	3.0	28.811	2.189	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.5812	54.765	2.726	0.174	0.2861	0.1027	-0.003	0.0025	21.3372	10.2651	0.1282	0.0211	0.8415	0.1887	1.0621	1.1813	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
grp-07	T1	4	120.0	4	4	70.7754	6.7677	132.3349	46.9786	0.1183	0.068	0.1588	0.2748	36.0611	0.9325	4.0	20.716	10.855	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	2.0	0.8689	0.22	2.6987	0.1479	0.3041	0.3385	0.0032	0.0058	20.0171	13.9642	0.0659	0.0384	0.9264	0.0822	0.9095	1.2862	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
grp-07	T1	5	150.0	4	4	74.7513	14.8204	98.4017	27.3347	0.1184	0.0702	0.0918	0.1836	36.0759	0.9296	3.0	28.76	11.678	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.9955	12.86	2.8252	0.2801	0.3921	0.4509	0.0008	0.001	24.0205	18.7777	0.1027	0.0781	0.9031	0.1112	0.955	1.2239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	6	180.0	4	4	74.5149	14.6609	141.6027	31.2191	0.1227	0.0689	0.1585	0.2517	36.0864	0.9375	5.0	30.575	2.209	1.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	-0.0	7.125	2.7724	0.2007	0.3927	0.3818	-0.0024	0.0052	20.5038	12.1541	0.1438	0.0826	0.9067	0.105	1.2915	1.7277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	7	210.0	4	4	78.7198	9.9366	139.177	22.4262	0.1308	0.0658	0.2336	0.3071	36.0951	0.9418	7.0	23.969	7.006	1.0	3.0	1.0	2.0	2.0	0.0	0.3333	0.0	0.0	3.0	1.2157	22.51	2.6179	0.3722	0.3011	0.2511	-0.0024	0.0037	23.3532	6.1154	0.1607	0.1216	0.9198	0.0728	1.3746	1.8646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	8	240.0	4	4	81.1034	2.6362	150.2565	15.6586	0.1327	0.0662	0.1669	0.1416	36.0961	0.9478	3.0	0.64	10.305	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0	2.056	2.7498	0.2518	0.4826	0.4774	0.0069	0.0081	30.0256	17.5269	0.1751	0.106	0.8758	0.0938	1.4828	1.9333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	9	270.0	4	4	74.6793	3.46	137.6366	19.0589	0.1268	0.0711	0.1502	0.1376	36.0913	0.9498																3.0853	0.1423	0.5009	0.4619	0.0037	0.0018	26.6747	15.534	0.2003	0.0455	0.8319	0.1333	1.4465	1.3694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	10	300.0	4	4	67.0136	7.2881	163.2531	19.7945	0.1283	0.0762	0.2086	0.126	36.0896	0.9465																3.1721	0.1371	0.4107	0.3869	-0.0024	0.0066	21.3515	14.7548	0.1629	0.071	0.7824	0.279	0.8983	0.2573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	11	330.0	4	4	68.4012	12.1112	143.2255	15.8552	0.134	0.079	0.2337	0.1056	36.0928	0.9408																3.0372	0.4817	0.3208	0.1771	-0.0031	0.0086	27.3549	20.053	0.1874	0.07	0.7223	0.4244	0.995	0.5296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	12	360.0	4	4	72.7183	14.0981	174.7833	39.6507	0.1414	0.0777	0.1919	0.1502	36.1114	0.9286																3.033	0.3776	0.312	0.0731	-0.0017	0.0047	28.0239	17.1026	0.1833	0.0379	0.744	0.345	1.2236	0.9655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	13	390.0	4	4	68.5301	12.0692	173.4466	64.4105	0.1446	0.076	0.2253	0.2351	36.1351	0.9154																2.9028	0.4175	0.3208	0.1785	-0.003	0.0049	24.6877	9.0263	0.1893	0.0165	0.7477	0.3172	1.1669	0.9616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	14	420.0	4	4	61.6652	9.5203	156.3167	95.2934	0.1436	0.0767	0.1752	0.1752	36.1638	0.903																2.8045	0.5762	0.273	0.1703	0.0014	0.0037	30.6723	15.1466	0.1636	0.0512	0.7245	0.3576	1.1761	1.0476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	15	450.0	4	4	66.0023	4.2791	134.3177	28.112	0.144	0.0778	0.0668	0.0817	36.1843	0.9021																2.9341	0.435	0.3471	0.2105	0.0035	0.003	32.0272	10.5921	0.1663	0.0613	0.7206	0.3419	1.0695	0.8138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	16	480.0	4	4	72.4492	5.487	126.7996	16.9825	0.1458	0.0778	0.1169	0.0696	36.1966	0.906																3.2417	0.1402	0.6346	0.7077	0.0128	0.0245	28.0238	8.7252	0.2002	0.0704	0.7251	0.3501	0.9246	0.6083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	17	510.0	4	4	72.8567	3.705	137.3094	30.4315	0.1464	0.078	0.1752	0.0879	36.2118	0.9015																3.5884	0.742	0.6517	0.7063	0.0152	0.0279	24.6712	13.3192	0.1927	0.0556	0.7185	0.3946	1.1356	1.0786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	18	540.0	4	4	69.4816	9.0967	148.6564	26.2544	0.1468	0.0779	0.267	0.1124	36.2137	0.9009																3.6367	0.9046	0.7162	0.8514	-0.0074	0.0133	24.0204	15.6339	0.198	0.0358	0.6992	0.4184	2.2581	3.1337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	19	570.0	4	4	66.762	15.005	184.1719	32.8143	0.1489	0.0758	0.3089	0.1623	36.2101	0.8982																3.1601	0.2409	0.5226	0.5519	-0.0016	0.0058	26.6894	16.7873	0.2038	0.0504	0.7472	0.3259	2.1802	2.9045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	20	600.0	4	4	71.2019	17.0856	164.8443	40.1613	0.1523	0.0731	0.2671	0.2004	36.2166	0.8947																3.1345	0.1687	0.4602	0.3915	0.0002	0.0069	25.3407	19.7325	0.1867	0.0826	0.8031	0.2617	1.9631	2.635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	21	630.0	4	4	70.7918	12.8155	119.6899	16.1151	0.1505	0.0715	0.1751	0.1793	36.2296	0.8999																3.0312	0.0802	0.387	0.3066	-0.0018	0.0057	26.0221	21.1841	0.1545	0.0853	0.8322	0.1744	1.3663	1.4178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	22	660.0	4	4	70.3278	7.1647	143.0781	14.0454	0.1456	0.075	0.1752	0.1102	36.2339	0.9057																2.9853	0.2282	0.2437	0.0481	-0.0004	0.0008	28.6853	14.203	0.1356	0.0698	0.8302	0.1195	1.2605	1.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	23	690.0	4	4	70.8275	7.3072	142.0232	11.1269	0.141	0.0798	0.1754	0.0998	36.2443	0.9156																2.9969	0.2703	0.2534	0.0492	-0.0003	0.0005	26.0221	9.173	0.1535	0.0204	0.7735	0.2526	1.5666	1.8018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	24	720.0	4	4	68.9529	8.9235	166.2074	27.5757	0.145	0.0767	0.1586	0.0879	36.2578	0.941																2.9708	0.3771	0.3031	0.0889	-0.0004	0.0024	31.36	18.5991	0.2082	0.0363	0.7792	0.222	2.1287	2.9051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	25	750.0	4	4	73.1253	18.2089	147.3341	19.1414	0.147	0.076	0.2169	0.1504	36.2661	0.9625																2.9595	0.3757	0.3462	0.1474	0.0004	0.0021	34.673	15.0139	0.2179	0.0181	0.784	0.206	2.0942	2.5368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	26	780.0	4	4	74.4995	24.1289	153.4818	42.1373	0.1499	0.0748	0.2084	0.2283	36.2705	0.9734																2.9227	0.2652	0.3436	0.1791	-0.0002	0.0017	30.6928	16.7874	0.1844	0.0332	0.7781	0.2813	2.2375	2.9309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	27	810.0	4	4	67.6861	10.5509	148.8337	53.7795	0.1524	0.0735	0.2085	0.1933	36.2815	0.9762																2.9087	0.1853	0.3372	0.2168	0.0005	0.0019	28.6911	23.8811	0.1714	0.09	0.8148	0.2197	2.7688	4.1627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	28	840.0	4	4	62.9059	4.4127	135.9754	28.7559	0.1494	0.0768	0.2003	0.1724	36.2997	0.9748																2.8287	0.1886	0.3337	0.2216	-0.0026	0.0033	24.0084	14.0	0.1549	0.0568	0.8423	0.1739	2.4093	3.6036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	29	870.0	4	4	62.9583	5.9142	139.5021	89.5772	0.152	0.0761	0.1586	0.1136	36.3145	0.9688																2.7767	0.1969	0.3274	0.3232	0.0	0.0018	20.0171	15.8881	0.1151	0.0453	0.842	0.1814	1.9118	2.9747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	30	900.0	4	4	66.4615	6.1602	158.4905	59.5081	0.1468	0.0793	0.1835	0.1403	36.3172	0.9665																2.7793	0.27	0.2984	0.272	-0.0005	0.0026	31.5245	23.8204	0.0927	0.029	0.8587	0.1192	1.2583	1.6375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	31	930.0	4	4	74.2923	4.9161	144.2446	18.5534	0.1407	0.0844	0.1168	0.148	36.3011	0.974																2.7666	0.2919	0.2041	0.0914	0.0008	0.0018	34.6779	13.0081	0.0809	0.022	0.8954	0.0863	1.0977	1.3732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	32	960.0	4	4	77.4841	6.3914	165.9225	19.8332	0.1402	0.0858	0.0083	0.0167	36.2927	0.9775																2.7784	0.2866	0.2351	0.1217	-0.0002	0.0022	44.7048	26.1248	0.0848	0.0774	0.8776	0.1297	1.5992	2.3059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	33	990.0	4	4	72.9423	12.6294	155.4825	44.2691	0.1405	0.0861	0.0585	0.096	36.2941	0.9895																2.7794	0.3518	0.2425	0.1549	-0.0002	0.0008	21.3488	21.5917	0.0926	0.09	0.8778	0.1348	1.8172	2.6242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	34	1020.0	4	4	72.5612	13.5331	148.5213	26.0949	0.1409	0.0862	0.0751	0.0877	36.2927	1.0049																2.798	0.3651	0.2658	0.1263	0.0001	0.0018	42.0194	30.2769	0.1068	0.0779	0.8773	0.1275	1.9774	2.3076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	35	1050.0	4	4	74.6395	11.3354	136.3184	28.2738	0.1466	0.0819	0.1084	0.0788	36.2928	1.0152																2.9201	0.3411	0.4023	0.1487	0.0037	0.0077	30.6928	37.5731	0.1425	0.0808	0.8263	0.1729	2.1426	2.3781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	36	1080.0	4	4	69.9077	7.1344	135.89	19.3234	0.1607	0.0761	0.1836	0.1404	36.2906	1.0169																3.0697	0.4098	0.3867	0.0634	0.0011	0.0034	34.6757	39.2648	0.1906	0.0806	0.8222	0.1754	2.0503	2.5016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	37	1110.0	4	4	66.164	6.808	160.7694	56.1831	0.1686	0.0764	0.1753	0.1796	36.2837	1.0084																2.9861	0.3117	0.3444	0.1172	-0.0029	0.0036	24.0205	19.0951	0.215	0.1151	0.8554	0.1508	2.389	3.4558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	38	1140.0	4	4	64.9146	8.6983	155.9744	32.4805	0.1781	0.0813	0.1668	0.1945	36.2737	1.0065																2.8475	0.2095	0.2532	0.1568	-0.0011	0.0007	20.6843	8.0899	0.1704	0.1623	0.8659	0.1267	2.4554	3.8949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	39	1170.0	4	4	65.7594	6.9678	162.6807	54.2736	0.1776	0.0803	0.2336	0.2344	36.2647	1.0133																2.8605	0.1731	0.2822	0.1357	0.0019	0.0006	32.0082	19.6647	0.1567	0.1017	0.8715	0.1143	2.4829	3.8172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	40	1200.0	4	4	77.3117	11.2477	168.8706	7.6088	0.1695	0.0776	0.2671	0.3096	36.2539	1.0266																3.017	0.2703	0.3422	0.0787	0.0034	0.0038	27.3566	7.5784	0.1983	0.033	0.8559	0.122	2.1709	2.992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	41	1230.0	4	4	79.7555	9.7874	160.9192	49.0846	0.1691	0.0788	0.192	0.2137	36.2533	1.0277																2.9833	0.2746	0.3301	0.0571	-0.003	0.0032	26.6836	1.1608	0.1875	0.019	0.8562	0.1348	1.4294	1.5604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	42	1260.0	4	4	71.2055	5.2299	143.5299	47.5666	0.1665	0.0773	0.1836	0.114	36.2699	1.0153																2.8686	0.2619	0.2963	0.154	0.0003	0.0035	28.6799	12.7109	0.2147	0.0972	0.8368	0.1766	2.206	2.9593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	43	1290.0	4	4	69.0346	8.7413	149.5866	40.9879	0.1609	0.0765	0.2838	0.1454	36.2669	1.0243																2.8852	0.3452	0.3115	0.1493	0.0002	0.002	28.6911	10.075	0.2547	0.159	0.7784	0.2707	3.3184	4.9275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	0	0.0	4	4	66.8163	7.4694	147.5883	24.2865	0.1712	0.0784	0.2002	0.0944	36.2629	1.0713	8.0	29.337	2.264	1.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.9844	5.993	2.8596	0.1768	0.2342	0.1655	-0.0032	0.0043	20.6704	12.0576	0.144	0.0778	0.7897	0.2972	1.4547	2.1626	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
grp-07	T2	1	30.0	4	4	70.9129	19.8156	161.0656	37.4609	0.1695	0.0805	0.2088	0.1291	36.2694	1.1004	5.0	29.519	2.04	1.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	2.0	0.9283	10.144	2.8076	0.2756	0.3422	0.3856	0.0008	0.0022	20.017	14.4345	0.1173	0.0648	0.7381	0.4361	0.7027	0.7168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	2	60.0	4	4	72.3307	11.5256	168.0902	19.9551	0.1726	0.0785	0.2002	0.1612	36.2806	1.106	3.0	23.174	5.322	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	-0.0	11.951	2.8211	0.301	0.3708	0.3459	0.0006	0.002	24.0205	14.4345	0.1685	0.0765	0.736	0.4132	2.7518	4.4272	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	3	90.0	4	4	74.8013	11.009	154.0957	42.1949	0.1729	0.0811	0.2086	0.1289	36.2923	1.0879	2.0	30.768	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	-0.0	0.0	2.7869	0.19	0.3845	0.2789	-0.0025	0.0017	28.6719	14.0502	0.1539	0.0501	0.7872	0.2896	1.2996	1.5363	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
grp-07	T2	4	120.0	4	4	79.9781	21.2611	127.8813	29.1417	0.1741	0.0823	0.1168	0.1001	36.3016	1.0713	7.0	24.209	5.741	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	3.0	1.3519	0.0	2.6601	0.2072	0.3009	0.2136	-0.0018	0.0032	20.6843	10.272	0.0869	0.0383	0.8814	0.1515	1.0245	1.3499	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
