group_id	task_id	hmm_state
grp-07	T1	1
grp-07	T1	1
grp-07	T1	1
grp-07	T1	1
grp-07	T1	1
grp-07	T1	3
grp-07	T1	3
grp-07	T1	3
grp-07	T1	3
grp-07	T2	1
grp-07	T2	3
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	1
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T2	2
grp-07	T3	1
grp-07	T3	1
grp-07	T3	1
grp-07	T3	1
grp-07	T3	1
grp-07	T3	1
grp-07	T3	1
grp-07	T3	2
grp-07	T3	2
grp-07	T3	2
grp-07	T3	3
grp-07	T3	3
grp-07	T3	3
grp-08	T1	1
grp-08	T1	1
grp-08	T1	3
grp-08	T1	3
grp-08	T1	3
grp-08	T1	1
grp-08	T1	1
grp-08	T1	1
grp-08	T1	1
grp-08	T1	3
grp-08	T1	2
grp-08	T1	1
grp-08	T1	1
grp-08	T1	2
grp-08	T1	2
grp-08	T1	2
grp-08	T1	2
grp-08	T1	2
grp-08	T1	2
grp-08	T1	2
grp-08	T1	2
grp-08	T1	0
grp-08	T1	0
grp-08	T1	0
grp-08	T1	0
grp-08	T2	1
grp-08	T2	1
grp-08	T2	3
grp-08	T2	1
grp-08	T2	3
grp-08	T2	1
grp-08	T2	1
grp-08	T2	1
grp-08	T2	1
grp-08	T2	1
grp-08	T2	1
grp-08	T2	1
grp-08	T2	1
grp-08	T2	2
grp-08	T2	2
grp-08	T2	1
grp-08	T2	1
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T2	2
grp-08	T3	0
grp-08	T3	1
grp-08	T3	2
grp-08	T3	2
grp-08	T3	1
grp-08	T3	1
grp-08	T3	1
grp-08	T3	1
grp-08	T3	1
grp-08	T3	1
grp-08	T3	1
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	2
grp-08	T3	0
grp-09	T2	0
grp-09	T2	0
grp-09	T2	0
grp-09	T2	3
grp-09	T2	3
grp-09	T2	3
grp-09	T2	1
grp-09	T2	3
grp-09	T2	1
grp-09	T2	1
grp-09	T2	3
grp-09	T2	3
grp-09	T2	2
grp-09	T2	2
grp-09	T2	2
grp-09	T2	2
grp-09	T2	2
grp-09	T2	2
grp-09	T2	2
grp-09	T2	2
grp-09	T3	1
grp-09	T3	0
grp-09	T3	1
grp-09	T3	1
grp-09	T3	1
grp-09	T3	1
grp-09	T3	1
grp-09	T3	1
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-09	T3	2
grp-10	T1	0
grp-10	T1	0
grp-10	T1	1
grp-10	T1	1
grp-10	T1	1
grp-10	T1	1
grp-10	T1	2
grp-10	T1	0
grp-10	T1	0
grp-10	T1	0
grp-10	T1	0
grp-10	T1	0
grp-10	T1	0
grp-10	T2	1
grp-10	T2	0
grp-10	T2	1
grp-10	T2	1
grp-10	T2	1
grp-10	T2	1
grp-10	T2	1
grp-10	T2	1
grp-10	T2	3
grp-10	T2	3
grp-10	T2	1
grp-10	T2	1
grp-10	T2	1
grp-10	T2	2
grp-10	T2	2
grp-10	T2	2
grp-10	T2	2
grp-10	T2	0
grp-10	T2	0
grp-10	T2	3
grp-10	T2	3
grp-10	T2	2
grp-10	T2	2
grp-10	T2	2
grp-10	T2	2
grp-10	T3	1
grp-10	T3	0
grp-10	T3	1
grp-10	T3	1
grp-10	T3	1
grp-10	T3	1
grp-10	T3	1
grp-10	T3	3
grp-10	T3	3
grp-10	T3	3
grp-10	T3	3
grp-10	T3	3
grp-10	T3	2
grp-11	T1	1
grp-11	T1	3
grp-11	T1	1
grp-11	T1	1
grp-11	T1	1
grp-11	T1	1
grp-11	T1	3
grp-11	T1	3
grp-11	T1	1
grp-11	T1	3
grp-11	T1	3
grp-11	T1	3
grp-11	T1	3
grp-11	T1	3
grp-11	T1	2
grp-11	T1	2
grp-11	T2	1
grp-11	T2	0
grp-11	T2	0
grp-11	T2	3
grp-11	T2	3
grp-11	T2	1
grp-11	T2	1
grp-11	T2	1
grp-11	T2	1
grp-11	T2	1
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T2	2
grp-11	T3	1
grp-11	T3	1
grp-11	T3	1
grp-11	T3	1
grp-11	T3	1
grp-11	T3	1
grp-11	T3	1
grp-11	T3	1
grp-11	T3	1
grp-11	T3	2
grp-11	T3	2
grp-11	T3	2
grp-11	T3	2
grp-11	T3	2
grp-11	T3	2
grp-11	T3	2
grp-11	T3	2
grp-12	T1	0
grp-12	T1	1
grp-12	T1	0
grp-12	T1	0
grp-12	T1	1
grp-12	T1	0
grp-12	T1	1
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T1	3
grp-12	T2	1
grp-12	T2	0
grp-12	T2	0
grp-12	T2	1
grp-12	T2	1
grp-12	T2	1
grp-12	T2	1
grp-12	T2	0
grp-12	T2	1
grp-12	T2	1
grp-12	T2	1
grp-12	T2	1
grp-12	T2	1
grp-12	T2	1
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-12	T2	2
grp-13	T1	0
grp-13	T1	0
grp-13	T1	1
grp-13	T1	0
grp-13	T1	0
grp-13	T1	1
grp-13	T1	1
grp-13	T1	1
grp-13	T1	3
grp-13	T1	3
grp-13	T1	3
grp-13	T1	3
grp-13	T1	2
grp-13	T1	2
grp-13	T1	2
grp-13	T1	2
grp-13	T1	2
grp-13	T1	2
grp-13	T2	1
grp-13	T2	0
grp-13	T2	0
grp-13	T2	0
grp-13	T2	3
grp-13	T2	3
grp-13	T2	3
grp-13	T2	3
grp-13	T2	1
grp-13	T2	1
grp-13	T2	1
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-13	T2	2
grp-14	T1	1
grp-14	T1	1
grp-14	T1	0
grp-14	T1	1
grp-14	T1	0
grp-14	T1	1
grp-14	T1	1
grp-14	T1	1
grp-14	T1	3
grp-14	T1	3
grp-14	T1	3
grp-14	T1	3
grp-14	T1	3
grp-14	T1	3
grp-14	T1	2
grp-14	T2	0
grp-14	T2	1
grp-14	T2	1
grp-14	T2	1
grp-14	T2	1
grp-14	T2	1
grp-14	T2	1
grp-14	T2	1
grp-14	T2	1
grp-14	T2	1
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T2	2
grp-14	T3	0
grp-14	T3	1
grp-14	T3	1
grp-14	T3	1
grp-14	T3	1
grp-14	T3	1
grp-14	T3	1
grp-14	T3	3
grp-14	T3	3
grp-14	T3	3
grp-14	T3	3
grp-14	T3	3
grp-14	T3	3
grp-15	T1	1
grp-15	T1	1
grp-15	T1	1
grp-15	T1	1
grp-15	T1	1
grp-15	T1	1
grp-15	T1	1
grp-15	T1	1
grp-15	T1	3
grp-15	T1	3
grp-15	T1	3
grp-15	T1	3
grp-15	T1	3
grp-15	T1	3
grp-15	T1	3
grp-15	T2	0
grp-15	T2	1
grp-15	T2	3
grp-15	T2	3
grp-15	T2	1
grp-15	T2	1
grp-15	T2	1
grp-15	T2	1
grp-15	T2	1
grp-15	T2	1
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T2	2
grp-15	T3	1
grp-15	T3	1
grp-15	T3	1
grp-15	T3	1
grp-15	T3	1
grp-15	T3	1
grp-15	T3	1
grp-15	T3	3
grp-15	T3	3
grp-15	T3	3
grp-15	T3	3
grp-15	T3	3
grp-15	T3	3
grp-16	T1	0
grp-16	T1	0
grp-16	T1	0
grp-16	T1	0
grp-16	T1	0
grp-16	T1	1
grp-16	T1	1
grp-16	T1	1
grp-16	T1	2
grp-16	T1	2
grp-16	T1	2
grp-16	T1	2
grp-16	T1	2
grp-16	T1	2
grp-16	T1	2
grp-16	T2	0
grp-16	T2	1
grp-16	T2	1
grp-16	T2	1
grp-16	T2	1
grp-16	T2	1
grp-16	T2	1
grp-16	T2	1
grp-16	T2	1
grp-16	T2	3
grp-16	T2	3
grp-16	T2	3
grp-16	T2	3
grp-16	T2	3
grp-16	T2	3
grp-16	T2	3
grp-16	T2	3
grp-16	T3	1
grp-16	T3	1
grp-16	T3	1
grp-16	T3	1
grp-16	T3	1
grp-16	T3	1
grp-16	T3	1
grp-16	T3	1
grp-16	T3	1
grp-16	T3	2
grp-16	T3	2
grp-16	T3	2
grp-16	T3	2
grp-16	T3	2
grp-16	T3	2
grp-16	T3	2
grp-16	T3	2
grp-16	T3	0
grp-16	T3	0
grp-16	T3	0
grp-16	T3	0
