group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index	lex_word_count	lex_unique_words	lex_ttr	lex_bigram_entropy	lex_trigram_entropy	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_positive_count	lex_negative_count	lex_question_count	lex_suggestion_count	lex_sentiment_ratio	lex_social_composite
grp-07	T1	0	0.0	61.0829	0.2002	36.0375	2.8745	0.0	1.0	0.0	2.0	5.0	4.0	28.978	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	1	30.0	61.7098	0.1753	36.0427	2.7528	1.917	0.0	0.0	1.0	4.0	4.0	30.429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	2	60.0	61.7187	0.1668	36.0457	2.821	2.208	0.0	0.0	3.0	1.0	1.0	0.53	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	3	90.0	64.4445	0.1751	36.0486	2.726	2.189	1.0	0.0	2.0	3.0	2.0	6.77	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	4	120.0	70.7754	0.1588	36.0611	2.6987	10.855	0.0	0.0	2.0	1.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T1	5	150.0	74.7513	0.0918	36.0759	2.8252	11.678	2.0	0.0	2.0	0.0	0.0	0.0	0.0	20.0	19.0	0.95	4.247927513443583	4.169925001442312	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.1
grp-07	T1	6	180.0	74.5149	0.1585	36.0864	2.7724	2.209	1.0	0.0	1.0	0.0	0.0	0.0	0.0	46.0	39.0	0.8478260869565217	5.447408651885229	5.459431618637296	2.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0434782608695652
grp-07	T1	7	210.0	78.7198	0.2336	36.0951	2.6179	7.006	1.0	0.0	3.0	0.0	0.0	0.0	0.0	52.0	40.0	0.7692307692307693	5.6724253419715005	5.643856189774728	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0192307692307692
grp-07	T1	8	240.0	81.1034	0.1669	36.0961	2.7498	10.305	0.0	0.0	1.0	0.0	0.0	0.0	0.0	95.0	66.0	0.6947368421052632	6.533312255932943	6.539158811108037	3.0	10.0	3.0	6.0	0.0	0.0	0.0	0.8571428571428571	0.0947368421052631
grp-07	T2	0	0.0	66.8163	0.2002	36.2629	2.8596	2.264	1.0	0.0	2.0	2.0	0.0	1.443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
