group_id	task_id	window_index	word_count	bert_umap1	bert_umap2	bert_umap3	bert_umap4	bert_umap5	bert_umap6	bert_umap7	bert_umap8	bert_umap9	bert_umap10	bert_valid
grp-07	T1	0	0	21.35539	3.824878	5.78058	7.013358	4.1916237	5.360804	4.1707635	4.324002	5.4751973	4.5833864	False
grp-07	T1	1	0	21.339928	3.8879392	5.774868	7.057252	4.1746316	5.3547845	4.1273727	4.3881445	5.5378585	4.6077886	False
grp-07	T1	2	0	21.340124	3.8605936	5.791061	7.044844	4.1482496	5.371404	4.1144457	4.3780303	5.5504613	4.6242676	False
grp-07	T1	3	0	21.358559	3.789819	5.825041	6.966228	4.198652	5.3821864	4.095842	4.2780547	5.4743295	4.5586433	False
grp-07	T1	4	0	21.38902	3.7644017	5.8141003	6.9746814	4.2245245	5.424256	4.1128783	4.257153	5.4361835	4.5555177	False
grp-07	T1	5	20	-0.05180219	4.509151	4.385275	2.97438	7.7841635	1.7623875	1.8397429	1.7767298	5.0683575	5.985324	True
grp-07	T1	6	46	-1.655317	5.168735	4.0186496	3.2875133	6.4835663	3.248681	3.915999	3.2130992	5.111381	4.9853563	True
grp-07	T1	7	50	-1.7120032	5.310482	4.133273	3.2698765	6.259327	3.5338633	4.1336374	3.291084	5.244597	4.951614	True
grp-07	T1	8	92	-1.7450536	5.226241	4.1067734	3.3080602	6.306136	3.3877869	3.9484377	3.2763765	5.230633	4.9802036	True
grp-07	T1	9	37	-1.6388577	5.2772613	4.2090306	3.1820312	6.181101	3.5994906	4.1543818	3.3190935	5.3639145	4.955581	True
grp-07	T1	10	62	-1.3984451	5.0162334	4.0099626	3.3215804	6.7623153	2.935899	3.5031855	2.9653785	5.0971594	5.186417	True
grp-07	T1	11	50	-0.8519862	4.7722387	4.1495833	3.232035	7.162771	2.5009348	2.757049	2.4746647	5.191289	5.5538	True
grp-07	T1	12	90	-1.7092577	5.229851	4.017147	3.4531527	6.450446	3.3544097	3.848216	2.8607726	5.078767	5.2500544	True
grp-07	T1	13	24	-0.33532083	4.7104053	4.393617	3.3035634	7.661532	1.981223	2.0969021	2.0312948	5.2505884	5.856504	True
grp-07	T2	0	0	21.288334	3.8844812	5.594642	6.863948	4.2408876	5.2695336	4.0006824	4.3846865	5.564805	4.6289725	False
grp-07	T2	1	0	21.36547	4.0136037	5.5459585	6.938803	4.1081476	5.3986826	4.114157	4.3587346	5.44362	4.6773005	False
grp-07	T2	2	0	21.313044	3.876377	5.76038	6.9046144	4.2038727	5.3327537	4.0380716	4.363496	5.4984465	4.6066456	False
grp-07	T2	3	18	-1.2483509	4.8179154	3.9342313	3.463221	5.5401363	4.3268895	2.5885832	1.4289513	5.4269958	6.2210226	True
grp-07	T2	4	55	-1.2647213	5.1573434	4.4720197	3.5389934	5.291686	4.518827	2.83735	1.6563101	5.741609	6.1572485	True
grp-07	T2	5	84	-1.3063006	5.532475	4.6501665	3.6288598	5.5574217	4.485307	3.183453	1.4915532	5.837738	6.157525	True
grp-07	T2	6	59	-1.3305507	5.3677974	4.5643787	3.5979648	5.5816855	4.5787277	3.0172014	1.2341212	5.860191	6.360519	True
grp-07	T2	7	27	-1.1749377	5.209694	4.352235	3.4839334	5.410593	4.437324	2.8569694	1.5834211	5.6878834	6.057532	True
grp-07	T2	8	73	-1.2378742	4.885691	4.0331583	3.5237863	5.608167	4.264817	2.5723	1.4350657	5.4681597	6.243627	True
grp-07	T2	9	92	-0.62476355	4.722788	3.9979022	3.3005917	7.0029416	2.9147	2.0938966	1.2179866	5.2421722	6.1492457	True
grp-07	T2	10	89	-1.0591513	5.6559386	4.9597797	3.5762775	5.372751	4.601065	3.0603755	1.4592191	6.0850396	6.174113	True
grp-07	T2	11	60	-0.9275248	5.4767103	4.9935517	3.4959822	5.4382997	4.397576	2.8329444	1.546385	6.0506816	6.187969	True
grp-07	T2	12	46	0.11252616	4.756811	4.797941	3.016733	7.633118	1.954182	1.8397168	1.5011765	5.358648	6.2082396	True
grp-07	T2	13	72	-1.3241524	5.762289	4.8492966	3.6929102	5.6494637	4.6162667	3.3114457	1.2274799	6.059163	6.3163934	True
grp-07	T2	14	39	-0.32049668	4.5177693	4.160496	3.3246486	7.636462	1.9527591	1.9191043	2.1637158	5.2272735	5.8127265	True
grp-07	T2	15	85	-1.7358106	5.440652	4.535767	3.7917445	5.490887	4.745473	3.3621185	1.2451086	5.816262	6.500683	True
grp-07	T2	16	78	-1.3015971	5.7037225	4.7632265	3.673927	5.487328	4.6717057	3.255263	1.3171742	5.977274	6.2377887	True
grp-07	T2	17	47	-1.6815053	5.699635	4.973337	3.8260176	5.528384	4.881653	3.5153031	1.1260884	6.1783533	6.6191506	True
grp-07	T2	18	65	-1.0492672	4.7992897	4.060698	3.4397202	5.9320617	3.932719	2.4719307	1.4973472	5.478242	6.2461724	True
grp-07	T2	19	84	-1.7496533	5.6634474	4.9589124	3.8643525	5.5495334	4.8726726	3.5421891	1.1097844	6.140682	6.689047	True
grp-07	T2	20	62	0.08051161	4.7939196	4.804278	3.057778	7.644981	1.956548	1.865081	1.5018533	5.3584776	6.1952553	True
grp-07	T2	21	95	-1.794336	5.680971	4.929529	3.8836668	5.564008	4.8810625	3.5911877	1.122758	6.108655	6.6791816	True
grp-07	T2	22	70	-1.2708673	5.565145	4.805473	3.617084	5.8741903	4.4369507	3.1297977	1.0639038	5.9713535	6.437419	True
