group_id	task_id	vad_valence_mean	vad_valence_std	vad_arousal_mean	vad_arousal_std	vad_dominance_mean	vad_dominance_std	engagement_mean	voice_inclusion_mean	team_coordination_mean	equality_of_contribution_mean	info_sharing_mean	mental_demand_mean	decision_confidence_mean	perceived_control_mean	perceived_dominance_P1	perceived_dominance_P2	perceived_dominance_P3	perceived_dominance_P4	satisfaction_mean	cooperative_mean	trust_angle_mean	trust_front_mean	trust_next_mean	confidence_mean	psych_safety_mean	fairness_mean	idea_quality_mean	idea_diversity_mean
grp-07	T1	7.625	1.109	7.125	1.181	7.375	1.493	5.0	6.75	6.5	5.75	6.5	3.0	6.75	5.75	6.667	4.333	6.333	5.667										
grp-07	T2	7.333	2.055	7.75	0.5	6.917	1.572	6.5	4.0				5.0		4.75	6.667	3.0	6.0	6.667	5.25	3.75	4.0	6.0	4.5					
grp-07	T3	8.0	0.816	7.625	1.493	7.125	1.181	6.25	6.75	6.75			5.0			5.667	3.667	5.667	5.667	6.0					6.0	6.25	6.5	5.75	5.5
grp-08	T1	6.583	0.5	5.083	2.754	5.708	1.669	4.75	5.25	5.25	4.25	5.5	4.0	6.5	4.0	4.667	4.333	2.333	5.667										
grp-08	T2	6.444	0.096	5.167	2.363	4.722	0.855	5.5	5.25				5.0		5.0	5.667	5.0	3.333	5.0	5.5	3.75	4.0	6.25	5.0					
grp-08	T3	7.5	1.0	4.375	2.869	5.625	0.75	3.75	5.25	4.75			4.25			4.667	5.667	3.667	2.667	6.25					4.0	6.5	5.75	3.5	4.5
grp-09	T1	6.333	1.155	7.0	1.0	5.667	2.082	5.0	5.5	5.75	3.75	6.0	2.25	6.0	3.75	5.0	5.667	4.667	3.333										
grp-09	T2	4.583	1.708	7.167	1.599	4.167	1.972	5.25	4.0				4.75		3.25	3.333	5.667	4.333	4.0	4.5	2.5	3.5	5.25	3.5					
grp-09	T3	7.167	1.106	7.0	0.816	5.75	0.957	5.5	6.25	5.25			3.0			4.0	4.0	5.0	3.0	5.25					5.25	6.5	5.75	5.5	6.5
grp-10	T1	7.0	0.943	6.75	1.258	6.5	1.503	5.0	6.0	5.25	5.5	5.75	3.5	5.75	5.0	2.667	5.0	5.0	5.333										
grp-10	T2	5.75	2.007	6.958	1.057	5.0	2.357	6.25	5.5				5.75		5.5	4.667	5.333	6.333	4.0	5.0	4.0	5.0	6.25	5.0					
grp-10	T3	8.25	0.957	8.083	1.067	6.667	1.826	5.75	6.25	6.25			3.0			5.667	4.0	4.667	5.0	7.0					5.5	6.5	6.0	5.5	5.25
grp-11	T1	6.333	1.443	6.333	1.528	6.0	2.0	5.25	6.0	5.75	5.5	6.0	4.0	4.75	5.25	5.0	4.667	4.0	4.667										
grp-11	T2	4.889	2.269	6.111	1.171	5.556	1.262	5.25	4.5				4.5		4.75	4.667	5.0	4.667	4.667	4.0	4.25	4.75	6.25	5.75					
grp-11	T3	6.333	1.155	6.5	0.866	5.833	1.041	5.25	5.75	6.0			3.75			3.667	4.0	4.667	5.0	6.0					5.5	6.25	5.75	4.0	4.5
grp-12	T1	6.667	1.054	5.458	1.449	6.208	1.812	4.5	5.0	4.5	4.5	4.5	2.5	5.25	5.25	3.667	3.667	4.0	6.333										
grp-12	T2	5.5	0.707	6.0	0.943	4.833	0.707	4.75	5.75				4.25		5.25	5.333	4.667	3.667	5.333	5.25	4.25	4.5	6.0	4.25					
grp-12	T3	6.917	0.918	5.708	1.917	6.25	0.569	5.5	6.0	6.5			2.5			4.0	4.667	4.667	5.667	5.5					6.0	6.75	6.25	4.75	4.75
grp-13	T1	6.833	0.289	6.444	0.509	5.556	0.509	5.25	5.5	5.75	4.0	4.5	3.5	6.25	4.75	2.667	3.667	6.0	3.333										
grp-13	T2	4.625	2.303	5.792	1.228	4.083	2.201	3.667	4.0				3.667		4.333	3.0	5.0	6.333	1.667	6.0	3.0	4.75	6.0	5.25					
