group_id,task_id,file,first_covered_window,last_covered_window,windows_within_span,n_gap_windows,span_contiguity_frac
grp-07,T1,transcript_grp-07_T1_2026-06-17 (2).tsv,5,14,10,0,1.0
grp-07,T2,transcript_grp-07_T2_2026-06-17.tsv,3,30,28,0,1.0
grp-07,T3,transcript_grp-07_T3_2026-06-17.tsv,10,22,13,0,1.0
grp-07,T4,transcript_grp-07_T4_2026-06-17.tsv,5,11,7,0,1.0
grp-10,T1,transcript_grp-10_T1_2026-06-18.tsv,7,19,13,0,1.0
grp-10,T2,transcript_grp-10_T2_2026-06-19.tsv,5,29,25,0,1.0
grp-10,T3,transcript_grp-10_T3_2026-06-21.tsv,8,21,14,0,1.0
grp-10,T4,transcript_grp-10_T4_2026-06-19.tsv,0,11,12,1,0.9166666666666666
grp-14,T1,transcript_grp-14_T1_2026-06-21.tsv,7,21,15,0,1.0
grp-14,T2,transcript_grp-14_T2_2026-06-22 (1).tsv,3,27,25,2,0.92
grp-14,T3,transcript_grp-14_T3_2026-06-25.tsv,9,21,13,0,1.0
grp-14,T4,transcript_grp-14_T4_2026-06-25.tsv,5,14,10,0,1.0
grp-15,T1,transcript_grp-15_T1_2026-06-17 (1).tsv,6,20,15,0,1.0
grp-15,T2,transcript_grp-15_T2_2026-06-17.tsv,3,25,23,1,0.9565217391304348
grp-15,T3,transcript_grp-15_T3_2026-06-17.tsv,10,23,14,0,1.0
grp-15,T4,transcript_grp-15_T4_2026-06-17.tsv,3,12,10,0,1.0
grp-16,T1,transcript_grp-16_T1_2026-07-08.tsv,6,20,15,0,1.0
grp-16,T2,transcript_grp-16_T2_2026-07-08 (2).tsv,5,22,18,0,1.0
grp-16,T3,transcript_grp-16_T3_2026-07-08.tsv,9,31,23,2,0.9130434782608696
grp-16,T4,transcript_grp-16_T4_2026-07-08.tsv,6,22,17,0,1.0
grp-11,T1,transcript_grp11_T1_2026-07-06_reviewed.tsv,0,18,19,1,0.9473684210526316
grp-11,T2,transcript_grp11_T2_2026-07-06_reviewed.tsv,0,28,29,4,0.8620689655172413
grp-11,T3,transcript_grp11_T3_2026-07-06_reviewed.tsv,0,16,17,0,1.0
grp-11,T4,transcript_grp11_T4_2026-07-06_reviewed.tsv,0,13,14,1,0.9285714285714286
grp-12,T1,transcript_grp12_T1_2026-07-06_reviewed.tsv,0,21,22,2,0.9090909090909091
grp-12,T2,transcript_grp12_T2_2026-07-06_reviewed.tsv,0,27,28,0,1.0
grp-12,T3,transcript_grp12_T3_2026-07-06_reviewed.tsv,0,23,24,5,0.7916666666666666
grp-12,T4,transcript_grp12_T4_2026-07-06_reviewed.tsv,0,12,13,2,0.8461538461538461
grp-13,T1,transcript_grp13_T1_2026-07-06_reviewed.tsv,0,19,20,2,0.9
grp-13,T2,transcript_grp13_T2_2026-07-07_reviewed.tsv,0,23,24,1,0.9583333333333334
grp-08,T1,transcript_grp8_T1_2026-07-06_reviewed.tsv,0,28,29,4,0.8620689655172413
grp-08,T2,transcript_grp8_T2_2026-07-06_reviewed.tsv,0,33,34,0,1.0
grp-08,T3,transcript_grp8_T3_2026-07-06_reviewed.tsv,0,31,32,6,0.8125
grp-08,T4,transcript_grp8_T4_2026-07-06_reviewed.tsv,0,14,15,0,1.0
grp-09,T2,transcript_grp9_T2_2026-07-06_reviewed.tsv,0,19,20,0,1.0
grp-09,T3,transcript_grp9_T3_2026-07-06_reviewed.tsv,0,24,25,4,0.84
grp-09,T4,transcript_grp9_T4_2026-07-06_reviewed.tsv,0,13,14,1,0.9285714285714286
