session_id	task	participant_a	participant_b	metric	window_count	corr	best_lag_corr	best_lag_windows
ses-20260312_grp-07_run01	T0	P1	P2	eda_mean	28	0.19712241271624445	0.19712241271624445	0
ses-20260312_grp-07_run01	T0	P1	P2	ppg_rate_proxy_bpm	28	-0.23017989803574387	0.25155613725517795	-2
ses-20260312_grp-07_run01	T0	P1	P2	pupil_mean	29	0.691587186813515	0.691587186813515	0
ses-20260312_grp-07_run01	T0	P1	P3	eda_mean	28	0.9037013358575788	0.9084772539012248	2
ses-20260312_grp-07_run01	T0	P1	P3	ppg_rate_proxy_bpm	28	0.17428963905446185	0.2699167027439303	-1
ses-20260312_grp-07_run01	T0	P1	P3	pupil_mean	29	0.5798143188834177	0.6014283748509993	1
ses-20260312_grp-07_run01	T0	P1	P4	eda_mean	29	0.8857082374105132	0.9207788047962919	-2
ses-20260312_grp-07_run01	T0	P1	P4	ppg_rate_proxy_bpm	29	0.364193769144103	0.364193769144103	0
ses-20260312_grp-07_run01	T0	P1	P4	pupil_mean	29	0.6561818440289794	0.6697163745094983	1
ses-20260312_grp-07_run01	T0	P2	P3	eda_mean	28	0.17739681715466782	0.1827293519326375	-1
ses-20260312_grp-07_run01	T0	P2	P3	ppg_rate_proxy_bpm	28	-0.20758798430897232	-0.20758798430897232	0
ses-20260312_grp-07_run01	T0	P2	P3	pupil_mean	29	0.49095173996070574	0.5579342350916162	-1
ses-20260312_grp-07_run01	T0	P2	P4	eda_mean	29	0.25242375123373134	0.25242375123373134	0
ses-20260312_grp-07_run01	T0	P2	P4	ppg_rate_proxy_bpm	29	-0.23522297038822063	0.13404938187194873	-2
ses-20260312_grp-07_run01	T0	P2	P4	pupil_mean	29	0.32699834373706516	0.3815583508041745	-2
ses-20260312_grp-07_run01	T0	P3	P4	eda_mean	29	0.9757636807234519	0.980400542946214	-2
ses-20260312_grp-07_run01	T0	P3	P4	ppg_rate_proxy_bpm	29	0.21614397521634893	0.4497501583513405	2
ses-20260312_grp-07_run01	T0	P3	P4	pupil_mean	29	0.711823017757214	0.711823017757214	0
ses-20260312_grp-07_run01	T1	P1	P2	eda_mean	44	0.10265748144029625	0.23689036627072793	2
ses-20260312_grp-07_run01	T1	P1	P2	ppg_rate_proxy_bpm	44	-0.13970262657017518	0.340879979787799	2
ses-20260312_grp-07_run01	T1	P1	P2	pupil_mean	44	0.049614602745879144	0.10070378702481432	2
ses-20260312_grp-07_run01	T1	P1	P3	eda_mean	44	0.4011998389409043	0.4011998389409043	0
ses-20260312_grp-07_run01	T1	P1	P3	ppg_rate_proxy_bpm	44	-0.06575556022101181	0.044993878930815065	-1
ses-20260312_grp-07_run01	T1	P1	P3	pupil_mean	44	0.6372227569029011	0.6372227569029011	0
ses-20260312_grp-07_run01	T1	P1	P4	eda_mean	44	0.36827847406220116	0.3715722153262541	1
ses-20260312_grp-07_run01	T1	P1	P4	ppg_rate_proxy_bpm	44	-0.24216074616102845	-0.15260547266248511	-1
ses-20260312_grp-07_run01	T1	P1	P4	pupil_mean	44	0.40462110029494525	0.6231916233770458	2
ses-20260312_grp-07_run01	T1	P2	P3	eda_mean	44	0.3514223977442929	0.5024766805935309	-2
ses-20260312_grp-07_run01	T1	P2	P3	ppg_rate_proxy_bpm	44	-0.002278148350245476	0.21996547955181586	2
ses-20260312_grp-07_run01	T1	P2	P3	pupil_mean	44	0.40202218659848477	0.47711315607870686	-1
ses-20260312_grp-07_run01	T1	P2	P4	eda_mean	44	0.6119367819348693	0.7102868571532318	2
ses-20260312_grp-07_run01	T1	P2	P4	ppg_rate_proxy_bpm	44	-0.07111501446619173	0.18100274546686707	2
ses-20260312_grp-07_run01	T1	P2	P4	pupil_mean	44	0.1896172482852208	0.24874775926965864	1
ses-20260312_grp-07_run01	T1	P3	P4	eda_mean	44	0.7817018256071427	0.7912684167398505	2
ses-20260312_grp-07_run01	T1	P3	P4	ppg_rate_proxy_bpm	44	0.43951800268151886	0.49062276506979335	1
ses-20260312_grp-07_run01	T1	P3	P4	pupil_mean	44	0.46237640265828067	0.6080711037555852	2
ses-20260312_grp-07_run01	T2	P1	P2	eda_mean	74	-0.1894918319652749	-0.14651972618463763	2
ses-20260312_grp-07_run01	T2	P1	P2	ppg_rate_proxy_bpm	74	-0.07075027930815828	0.018261407749954602	-2
ses-20260312_grp-07_run01	T2	P1	P2	pupil_mean	74	0.3612365861985908	0.37887541840103484	-1
ses-20260312_grp-07_run01	T2	P1	P3	eda_mean	74	0.5049923714579316	0.5757907360374587	-2
ses-20260312_grp-07_run01	T2	P1	P3	ppg_rate_proxy_bpm	74	-0.12456669872055112	-0.05843272982448674	-2
ses-20260312_grp-07_run01	T2	P1	P3	pupil_mean	74	0.3727491480450358	0.39920489111874924	1
ses-20260312_grp-07_run01	T2	P1	P4	eda_mean	74	0.15267452252146343	0.2783623424197068	-2
ses-20260312_grp-07_run01	T2	P1	P4	ppg_rate_proxy_bpm	74	-0.13276842380597478	0.03252197627638579	2
ses-20260312_grp-07_run01	T2	P1	P4	pupil_mean	74	0.5001043613387941	0.5251434565648391	1
ses-20260312_grp-07_run01	T2	P2	P3	eda_mean	74	-0.41040402369059586	-0.3101875175015928	-2
ses-20260312_grp-07_run01	T2	P2	P3	ppg_rate_proxy_bpm	74	0.1164729824308821	0.2260206312551031	1
ses-20260312_grp-07_run01	T2	P2	P3	pupil_mean	74	0.1324462674452609	0.25595621572573946	2
ses-20260312_grp-07_run01	T2	P2	P4	eda_mean	74	0.04163005055821642	0.04163005055821642	0
ses-20260312_grp-07_run01	T2	P2	P4	ppg_rate_proxy_bpm	74	-0.28355314231473	-0.1451574173245168	-2
ses-20260312_grp-07_run01	T2	P2	P4	pupil_mean	74	0.26259145094909037	0.27559091831740945	1
ses-20260312_grp-07_run01	T2	P3	P4	eda_mean	74	-0.19305516941022433	-0.0027106156237309688	2
ses-20260312_grp-07_run01	T2	P3	P4	ppg_rate_proxy_bpm	74	-0.03470708427420974	-0.02095019017208547	2
ses-20260312_grp-07_run01	T2	P3	P4	pupil_mean	74	0.6080327992315382	0.6080327992315382	0
ses-20260312_grp-07_run01	T3	P1	P2	eda_mean	57	0.08998833707773791	0.15561593009619723	-2
