group_id	task_id	window_index	window_start_s	n_spk_rows	n_speakers	lex_agreement_count	lex_bigram_entropy	lex_certainty_count	lex_clause_density	lex_concreteness_coverage	lex_concreteness_mean	lex_concreteness_std	lex_dm_additive	lex_dm_causal	lex_dm_contrast	lex_dm_elaboration	lex_dm_temporal	lex_hedging_count	lex_i_count	lex_long_word_ratio	lex_mean_word_len	lex_negative_count	lex_parse_depth_mean	lex_positive_count	lex_question_count	lex_sentiment_ratio	lex_social_composite	lex_subordination_ratio	lex_suggestion_count	lex_trigram_entropy	lex_ttr	lex_turn_cohesion	lex_unique_words	lex_vader_compound	lex_vader_neg	lex_vader_neu	lex_vader_pos	lex_we_count	lex_we_i_ratio	lex_word_count	lex_word_gini	lex_word_hhi
grp-07	T1	0	0.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T1	1	30.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T1	2	60.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T1	3	90.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T1	4	120.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T1	5	150.0	3	2	2	4.247927513443583	0	1.3333333333333333	0.85	2.3682352941176474	0.9420205773581012	0	0	1	0	0	0	1	0.1	3.85	0	1.76	0	1	0.0	0.1	0.25	0	4.169925001442312	0.95	0.0	19	0.2069	0.068	0.78	0.152	0	0.0	20	0.725	0.9049999999999999
grp-07	T1	6	180.0	4	2	2	5.447408651885229	0	2.0	0.9130434782608695	2.3878571428571425	0.9254485031447126	2	1	0	0	0	3	2	0.2826086956521739	5.130434782608695	0	2.5961538461538463	0	2	0.0	0.043478260869565216	0.5	0	5.4594316186372955	0.8695652173913043	0.011904761904761904	40	0.6322	0.0	0.895	0.105	0	0.0	46	0.5760869565217391	0.5463137996219282
grp-07	T1	7	210.0	3	1	0	5.6724253419715005	0	3.0	0.9038461538461539	2.2517021276595743	0.7572495559559432	5	2	0	0	1	2	1	0.2692307692307692	5.25	0	2.75	1	0	0.5	0.019230769230769232	0.6666666666666666	0	5.643856189774728	0.8269230769230769	0.09632034632034632	43	0.6697	0.0	0.897	0.103	0	0.0	52	0.75	1.0
grp-07	T1	8	240.0	6	3	3	6.533312255932943	3	3.0	0.8842105263157894	2.2002380952380953	0.8923790783636367	2	2	1	4	0	9	6	0.21052631578947367	4.3578947368421055	0	3.455357142857143	6	0	0.8571428571428571	0.09473684210526316	0.6666666666666666	0	6.539158811108037	0.7578947368421053	0.04955263157894737	72	0.9209	0.028	0.8	0.172	0	0.0	95	0.65	0.6890858725761771
grp-07	T1	9	270.0	2	1	1	5.1699250014423095	0	2.5	0.8108108108108109	2.334000000000001	0.8891479067061903	4	1	0	0	0	1	0	0.1891891891891892	4.594594594594595	0	1.8181818181818181	1	0	0.5	0.05405405405405406	0.6	0	5.129283016944964	0.9459459459459459	0.05714285714285714	35	0.7501	0.0	0.821	0.179	0		37	0.75	1.0
grp-07	T1	10	300.0	4	2	4	5.865163567071079	0	1.6	0.8870967741935484	2.516909090909091	1.0413852186168762	6	2	1	0	0	1	4	0.06451612903225806	3.629032258064516	0	1.8591549295774648	2	0	0.6666666666666666	0.0967741935483871	0.375	0	5.906890595608517	0.7258064516129032	0.04938271604938271	45	0.8512	0.0	0.864	0.136	0	0.0	62	0.5564516129032258	0.5254942767950052
grp-07	T1	11	330.0	3	1	1	5.614709844115208	1	3.0	0.96	2.1495833333333336	0.7824479704037124	3	1	0	0	0	1	1	0.14	3.98	0	3.2	0	0	0.0	0.02	0.6666666666666666	0	5.5849625007211605	0.78	0.06578947368421052	39	-0.2732	0.111	0.817	0.073	2	0.6666666666666666	50	0.75	1.0
grp-07	T1	12	360.0	7	2	5	6.397904530308592	2	2.25	0.9021739130434783	2.4015662650602407	0.838486131427881	2	2	2	0	0	8	7	0.07608695652173914	3.6956521739130435	2	2.409090909090909	2	0	0.0	0.07608695652173914	0.5555555555555556	0	6.491853096329662	0.6630434782608695	0.07832321187584346	61	0.9568	0.028	0.784	0.188	2	0.2222222222222222	92	0.6195652173913043	0.6143667296786388
grp-07	T1	13	390.0	7	2	6	4.523561956057013	0	1.4285714285714286	0.9166666666666666	2.2822727272727272	0.7845376856246546	1	1	0	0	0	1	1	0.08333333333333333	3.625	0	1.3548387096774193	1	1	0.5	0.2916666666666667	0.3	0	4.459431618637295	0.8333333333333334	0.18333333333333335	20	0.9081	0.0	0.556	0.444	2	0.6666666666666666	24	0.6458333333333334	0.6701388888888888
grp-07	T2	0	0.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
grp-07	T2	1	30.0	0	0	0		0					0	0	0	0	0	0	0			0		0	0				0				0					0		0		
