feature	definition
physio_available	Whether a participant-task EmotiBit file was found and read.
duration_s	Task/window duration covered by the physio samples.
coverage_pct	Minimum finite-sample coverage across PPG, EDA, and temperature.
hr_mean_bpm	Mean heart rate in beats per minute, preferring device HR when present.
hr_sd_bpm	Standard deviation of device heart rate, when present.
hrv_rmssd_ms	Quality-gated PPG-derived RMSSD; blank when beat detection is unreliable.
hrv_quality_score	0-1 PPG beat-quality score combining clean intervals and HR agreement.
ppg_hr_agreement_bpm	Absolute difference between PPG-derived and device-derived HR.
ppg_channel_idx	Selected PPG value_* channel used for PPG-derived HR/HRV diagnostics.
hrv_rmssd_ms_delta_t0	Task-level RMSSD change relative to same participant's T0 baseline.
ppg_green_mean	Mean green PPG channel value.
ppg_red_mean	Mean red PPG channel value.
ppg_ir_mean	Mean infrared PPG channel value.
eda_tonic_mean	Mean electrodermal activity level from the configured EDA channel.
eda_tonic_slope	Linear EDA slope per second within the task/window.
eda_phasic_rate_hz	Quality-gated phasic EDA peak count divided by duration.
eda_scr_amplitude_mean	Mean amplitude of detected phasic EDA responses.
temp_mean	Mean skin temperature from the configured temperature channel.
temp_slope	Linear temperature slope per second within the task/window.
thermopile_mean	Mean thermopile/infrared temperature-like channel when available.
temp_aux_mean	Mean auxiliary temperature-like channel when available.
accel_motion_mean	Mean accelerometer vector magnitude from configured IMU channels.
accel_dynamic_mean	Mean absolute acceleration deviation from median posture.
accel_jerk_mean	Mean absolute first difference of acceleration magnitude per second.
gyro_motion_mean	Mean gyroscope vector magnitude.
mag_motion_mean	Mean magnetometer vector magnitude.
qc_flag	Semicolon-separated machine-readable quality flags; ok means no rule fired.
qc_notes	Human-readable plain-language description of each quality flag.
eda_phasic_detection_limited	EDA phasic peak detection is limited; eda_phasic_rate_hz may be unreliable.
channel_map_unconfirmed	EmotiBit value_* channel mapping has not been confirmed; pass --channel-map-confirmed once verified.
