group_id	task_id	window_index	tr_semantic_continuity	tr_cross_speaker_similarity
grp-07	T1	5	0.1686037927865982	0.1686037927865982
grp-07	T1	6	0.0485682375729084	0.17874960880726576
grp-07	T1	7		
grp-07	T1	8	0.10725565254688263	0.1353821489546034
grp-07	T1	9		
grp-07	T1	10	0.13913694024085999	0.28661241630713147
grp-07	T1	11		
grp-07	T1	12	0.1744946539402008	0.1362832508981228
grp-07	T1	13	0.18031341582536697	0.22247838005423545
grp-07	T2	3		
grp-07	T2	4	0.07463691383600235	0.1796751145273447
grp-07	T2	5	0.23110760748386383	0.3463860477010409
grp-07	T2	6	0.10733149200677872	0.20256759598851204
grp-07	T2	7		
grp-07	T2	8	0.20147287845611572	0.15070246992011865
grp-07	T2	9	0.3777160325220653	0.259351398381922
grp-07	T2	10		
grp-07	T2	11	0.08268103003501892	0.0595544409006834
grp-07	T2	12	0.18069666189452013	0.13703209534287453
grp-07	T2	13	0.3316497206687927	0.27657351712696254
grp-07	T2	14	0.07033589482307434	0.345278762280941
grp-07	T2	15		
grp-07	T2	16	0.363895058631897	0.363895058631897
grp-07	T2	17		
grp-07	T2	18	0.19240562617778778	0.11839622538536787
grp-07	T2	19	0.4020325839519501	0.46110306680202484
grp-07	T2	20	-0.04782678186893463	-0.02935992181301117
grp-07	T2	21	0.15933718780676523	0.17550647083450766
grp-07	T2	22		
grp-07	T2	23	0.1152419497569402	0.20708512049168348
grp-07	T2	24		
grp-07	T2	25	0.10498517006635666	0.0949128046631813
grp-07	T2	26		
grp-07	T2	27	0.07620279537513852	0.22223516482682454
grp-07	T2	28	0.15266137942671776	0.12391960760578513
grp-07	T2	29	0.20858894723157087	0.18413930733142228
grp-07	T2	30		
grp-07	T3	10		
grp-07	T3	11	0.32055813615972345	0.2807441629024584
grp-07	T3	12	0.40854608246849644	0.33632771554403007
grp-07	T3	13	0.1111980490386486	0.10708167652289073
grp-07	T3	14	0.20899811573326588	0.19254007323871594
grp-07	T3	15	0.2186041347682476	0.2249288226477802
grp-07	T3	16	0.10094858286902308	0.1544641816819256
grp-07	T3	17	0.4853125065565109	0.35582490052495686
grp-07	T3	18	0.15861876805623373	0.24564357660710812
grp-07	T3	19	0.21278525392214456	0.21496331285346637
