group_id	task_id	task_duration_s	n_active_speakers	total_turns	sil_time_s	sil_fraction	sil_event_count	laughter_count	laughter_time_s	overlap_event_count	competitive_overlap_count	cooperative_overlap_count	collaborative_overlap_count	needs_review_overlap_count	conflict_overlap_ratio	simultaneous_overlap_count	backchannel_ovl_count	transition_entropy_bits	gini_speaking_time	engagement_density_per_min
grp-07	T1	259.429	4	39	43.675	0.1684	25	0	0.0	0								2.6887	0.216	16.189
grp-07	T2	789.273	4	141	130.088	0.1648	87	2	6.261	0								3.2	0.2425	16.116
grp-07	T3	376.831	4	101	97.883	0.2598	42	3	4.373	1	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.2529	0.1558	34.711
grp-07	T4	190.789	4	48	0.0	0.0	0	0	0.0	0								2.9874	0.1966	16.039
grp-10	T1	363.23	4	52	62.006	0.1707	37	0	0.0	0								3.1787	0.2258	14.536
grp-10	T2	736.0	4	102	172.081	0.2338	70	6	14.072	0								3.2611	0.1423	13.859
grp-10	T3	383.644	4	91	117.034	0.3051	66	4	8.843	0								3.303	0.1332	23.616
grp-10	T4	325.218	4	59	193.657	0.5955	50	0	0.0	0								3.1599	0.2984	18.08
grp-14	T1	451.512	4	58	60.755	0.1346	47	3	12.64	0								3.5133	0.2538	13.687
grp-14	T2	724.074	4	121	238.125	0.3289	91	7	24.583	0								3.4607	0.1728	19.059
grp-14	T3	384.344	4	76	101.649	0.2645	58	4	10.811	0								3.332	0.1752	24.353
grp-14	T4	250.088	4	61	142.854	0.5712	50	0	0.0	0								2.9056	0.3304	21.113
grp-15	T1	431.108	4	114	75.865	0.176	32	12	24.892	0								3.3725	0.2168	33.263
grp-15	T2	672.0	4	124	33.39	0.0497	18	11	22.535	0								3.5443	0.0823	17.679
grp-15	T3	389.0	4	88	103.851	0.267	69	4	7.34	0								3.1836	0.1216	21.748
grp-15	T4	249.028	4	51	0.0	0.0	0	0	0.0	0								2.9636	0.2256	18.552
grp-16	T1	434.0	4	66	25.21	0.0581	16	1	2.051	0								3.305	0.1459	16.037
grp-16	T2	510.0	4	88	81.72	0.1602	38	3	7.869	0								3.4113	0.128	20.706
grp-16	T3	662.939	4	120	113.952	0.1719	60	17	57.68	0								3.3488	0.1697	21.359
grp-16	T4	487.721	4	102	133.906	0.2746	48	3	7.869	0								3.4659	0.165	23.374
grp-11	T1	539.63	4	92	247.27	0.4582	70	0	0.0	0								3.4738	0.1822	19.68
grp-11	T2	854.922	4	141	362.762	0.4243	128	0	0.0	0								3.2984	0.1469	16.212
grp-11	T3	500.287	4	122	239.699	0.4791	100	0	0.0	0								3.4265	0.1352	27.584
grp-11	T4	394.452	4	58	212.019	0.5375	50	0	0.0	0								3.0693	0.2845	16.58
grp-12	T1	625.476	4	56	225.204	0.3601	67	0	0.0	0								3.3141	0.1381	10.168
grp-12	T2	814.388	4	113	215.767	0.2649	85	0	0.0	0								3.3949	0.0911	14.072
grp-12	T3	709.959	4	117	369.158	0.52	87	0	0.0	0								3.478	0.0624	17.071
grp-12	T4	385.407	4	32	238.224	0.6181	31	0	0.0	0								3.0057	0.4543	8.874
grp-13	T1	588.338	4	53	174.189	0.2961	57	0	0.0	0								3.2674	0.1465	11.32
grp-13	T2	696.097	4	84	182.204	0.2618	74	0	0.0	0								3.1489	0.3633	10.516
grp-08	T1	841.101	4	96	396.232	0.4711	87	0	0.0	0								3.4449	0.1549	11.842
grp-08	T2	993.298	4	155	431.669	0.4346	126	0	0.0	0								3.5393	0.0837	16.672
grp-08	T3	953.588	4	123	591.652	0.6204	102	0	0.0	0								3.4317	0.4611	13.339
grp-08	T4	412.819	4	85	152.724	0.37	59	0	0.0	0								3.5116	0.2451	24.417
grp-09	T2	595.818	4	62	173.99	0.292	62	0	0.0	0								3.2391	0.2706	9.869
grp-09	T3	720.916	4	105	312.93	0.4341	88	0	0.0	0								3.4175	0.1376	15.48
grp-09	T4	390.541	4	52	190.592	0.488	51	0	0.0	0								3.3295	0.35	15.824
