group_id	task_id	participant_id	speaking_time_s	speaking_share	turn_count	mean_turn_duration_s	median_turn_duration_s	std_turn_duration_s	mean_response_gap_ms	mean_trp_silence_ms	overlap_time_s	overlap_fraction	interruption_count	interruption_rate_per_min	backchannel_given_count	backchannel_given_rate_per_min	backchannel_latency_mean_ms	filled_pause_count	filled_pause_rate_per_min	breath_count
grp-07	T1	P1	108.321	0.4175	14	7.737	7.325	4.12	138.5	1223.0	68.323	0.6307	1	0.231	1	0.231		0	0.0	1
grp-07	T1	P2	37.283	0.1437	4	9.321	10.375	7.516		3396.0	43.527	1.1675	1	0.231	0	0.0		0	0.0	0
grp-07	T1	P3	52.627	0.2029	10	5.263	2.502	6.41	451.0	1263.5	46.743	0.8882	5	1.156	5	1.156	6945.0	0	0.0	0
grp-07	T1	P4	78.995	0.3045	11	7.181	4.0	8.336	3345.5	450.2	199.625	2.5271	1	0.231	0	0.0		0	0.0	0
grp-07	T2	P1	380.433	0.482	54	7.045	5.001	6.672	706.8	1515.4	236.914	0.6227	1	0.076	2	0.152	2446.0	2	0.152	4
grp-07	T2	P2	133.029	0.1685	15	8.869	4.861	8.459	6455.0	1052.9	83.357	0.6266	2	0.152	7	0.532	8449.6	0	0.0	0
grp-07	T2	P3	143.858	0.1823	38	3.786	2.081	4.383	1060.0	1681.9	106.483	0.7402	7	0.532	2	0.152	6709.0	0	0.0	0
grp-07	T2	P4	129.592	0.1642	34	3.812	2.652	3.153	1310.0	1067.5	83.387	0.6435	9	0.684	3	0.228	4484.0	0	0.0	0
grp-07	T3	P1	82.073	0.2178	15	5.472	2.161	5.331	1498.2	1078.8	132.748	1.6174	9	1.433	3	0.478	4084.3	0	0.0	0
grp-07	T3	P2	90.958	0.2414	14	6.497	5.361	5.027	4203.7	1969.9	95.421	1.0491	4	0.637	1	0.159	4549.0	0	0.0	0
grp-07	T3	P3	117.566	0.312	37	3.177	2.0	3.674	3643.3	1928.1	272.948	2.3217	22	3.503	12	1.911	6044.7	0	0.0	0
grp-07	T3	P4	168.563	0.4473	35	4.816	3.541	5.249	1069.9	2556.5	294.546	1.7474	16	2.548	7	1.115	8683.0	0	0.0	0
grp-07	T4	P1	27.445	0.1439	8	3.431	2.0	4.521	4073.2	4073.2	16.2	0.5903	2	0.629	0	0.0		0	0.0	0
grp-07	T4	P2	55.047	0.2885	11	5.004	3.004	6.723	2805.0	2805.0	29.376	0.5337	2	0.629	0	0.0		0	0.0	0
grp-07	T4	P3	53.417	0.28	20	2.671	1.351	3.776	1972.8	1972.8	34.849	0.6524	4	1.258	0	0.0		0	0.0	0
grp-07	T4	P4	22.245	0.1166	9	2.472	1.0	3.138	8029.4	8029.4	5.415	0.2434	3	0.943	0	0.0		0	0.0	0
