group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_time_s	tr_ovl_competitive_timing	tr_ovl_collaboration_index	group_id	task_id	window_index
61.0829	0.2002	2.8745	0.0	1.0	0.0	2.0	28.978	0.0	0.2	grp-07	T1	0
61.7098	0.1753	2.7528	1.917	0.0	0.0	1.0	30.429	0.0	0.0	grp-07	T1	1
61.7187	0.1668	2.821	2.208	0.0	0.0	3.0	0.53	1.0	1.0	grp-07	T1	2
64.4445	0.1751	2.726	2.189	1.0	0.0	2.0	6.77	0.0	0.6666666666666666	grp-07	T1	3
70.7754	0.1588	2.6987	10.855	0.0	0.0	2.0	0.24	0.0	1.0	grp-07	T1	4
74.7513	0.0918	2.8252	11.678	2.0	0.0	2.0	0.0	0.0	0.0	grp-07	T1	5
74.5149	0.1585	2.7724	2.209	1.0	0.0	1.0	0.0	0.0	0.0	grp-07	T1	6
78.7198	0.2336	2.6179	7.006	1.0	0.0	3.0	0.0	0.0	0.0	grp-07	T1	7
81.1034	0.1669	2.7498	10.305	0.0	0.0	1.0	0.0	0.0	0.0	grp-07	T1	8
66.8163	0.2002	2.8596	2.264	1.0	0.0	2.0	1.443	0.0	0.0	grp-07	T2	0
70.9129	0.2088	2.8076	2.04	1.0	0.0	2.0	0.0	0.0	0.0	grp-07	T2	1
72.3307	0.2002	2.8211	5.322	0.0	0.0	1.0	0.278	0.0	1.0	grp-07	T2	2
74.8013	0.2086	2.7869	0.0	0.0	0.0	1.0	3.84	1.0	0.3333333333333333	grp-07	T2	3
79.9781	0.1168	2.6601	5.741	0.0	0.0	3.0	12.442	2.0	0.5	grp-07	T2	4
71.1956	0.1334	2.7442	2.198	0.0	0.0	3.0	12.352	0.0	0.25	grp-07	T2	5
65.5389	0.2838	2.9545	10.244	1.0	0.0	2.0	0.365	0.0	0.0	grp-07	T2	6
65.8167	0.3507	3.1356	3.618	0.0	0.0	3.0	0.0	0.0	0.0	grp-07	T2	7
62.652	0.2169	3.322	2.322	0.0	0.0	3.0	27.782	0.0	0.42857142857142855	grp-07	T2	8
67.0716	0.1919	2.9671	5.658	0.0	0.0	3.0	4.26	0.0	1.0	grp-07	T2	9
72.5429	0.1837	2.9916	1.756	5.0	0.0	2.0	36.393	1.0	0.2222222222222222	grp-07	T2	10
74.3345	0.2255	2.8598	4.351	0.0	0.0	1.0	12.088	1.0	0.0	grp-07	T2	11
75.277	0.1919	2.8491	0.78	0.0	0.0	1.0	2.206	1.0	0.0	grp-07	T2	12
77.2885	0.3337	2.8078	0.6	1.0	0.0	1.0	0.542	0.0	0.5	grp-07	T2	13
78.6473	0.4089	2.8186	8.516	0.0	0.0	2.0	0.0	0.0	0.0	grp-07	T2	14
76.3682	0.3335	2.967	3.121	0.0	1.0	2.0	0.0	0.0	0.0	grp-07	T2	15
76.8535	0.2837	3.0826	0.0	0.0	0.0	2.0	0.0	0.0	0.0	grp-07	T2	16
73.4641	0.2338	3.0322	10.878	1.0	0.0	2.0	0.0	0.0	0.0	grp-07	T2	17
75.4395	0.1669	2.9647	7.736	1.0	0.0	2.0	0.0	0.0	0.0	grp-07	T2	18
77.5998	0.1501	2.9535	0.519	2.0	0.0	2.0	0.0	0.0	0.0	grp-07	T2	19
71.3528	0.2585	2.9311	6.502	0.0	0.0	3.0	0.0	0.0	0.0	grp-07	T2	20
69.3134	0.3175	2.9664	6.778	0.0	0.0	2.0	0.0	0.0	0.0	grp-07	T2	21
66.1978	0.2503	3.0387	1.327	0.0	0.0	1.0	0.0	0.0	0.0	grp-07	T2	22
64.2477	0.1834	3.0436	2.853	1.0	1.0	3.0	0.0	0.0	0.0	grp-07	T2	23
68.2797	0.2088	3.1061	11.346	0.0	1.0	3.0	0.0	0.0	0.0	grp-07	T2	24
