group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index
grp-07	T1	0	0.0	61.0829	0.2002	36.0375	2.8745	0.0	1.0	0.0	2.0	5.0	4.0	28.978	0.2
grp-07	T1	1	30.0	61.7098	0.1753	36.0427	2.7528	1.917	0.0	0.0	1.0	4.0	4.0	30.429	0.0
grp-07	T1	2	60.0	61.7187	0.1668	36.0457	2.821	2.208	0.0	0.0	3.0	1.0	1.0	0.53	1.0
grp-07	T1	3	90.0	64.4445	0.1751	36.0486	2.726	2.189	1.0	0.0	2.0	3.0	2.0	6.77	0.6666666666666666
grp-07	T1	4	120.0	70.7754	0.1588	36.0611	2.6987	10.855	0.0	0.0	2.0	1.0	0.0	0.24	0.0
grp-07	T1	5	150.0	74.7513	0.0918	36.0759	2.8252	11.678	2.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-07	T1	6	180.0	74.5149	0.1585	36.0864	2.7724	2.209	1.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-07	T1	7	210.0	78.7198	0.2336	36.0951	2.6179	7.006	1.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-07	T1	8	240.0	81.1034	0.1669	36.0961	2.7498	10.305	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-07	T2	0	0.0	66.8163	0.2002	36.2629	2.8596	2.264	1.0	0.0	2.0	2.0	0.0	1.443	0.0
grp-07	T2	1	30.0	70.9129	0.2088	36.2694	2.8076	2.04	1.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-07	T2	2	60.0	72.3307	0.2002	36.2806	2.8211	5.322	0.0	0.0	1.0	1.0	0.0	0.278	1.0
grp-07	T2	3	90.0	74.8013	0.2086	36.2923	2.7869	0.0	0.0	0.0	1.0	3.0	3.0	3.84	0.3333333333333333
grp-07	T2	4	120.0	79.9781	0.1168	36.3016	2.6601	5.741	0.0	0.0	3.0	4.0	3.0	12.442	0.5
grp-07	T2	5	150.0	71.1956	0.1334	36.3023	2.7442	2.198	0.0	0.0	3.0	4.0	3.0	12.352	0.25
grp-07	T2	6	180.0	65.5389	0.2838	36.3063	2.9545	10.244	1.0	0.0	2.0	1.0	0.0	0.365	0.0
grp-07	T2	7	210.0	65.8167	0.3507	36.3156	3.1356	3.618	0.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-07	T2	8	240.0	62.652	0.2169	36.3259	3.322	2.322	0.0	0.0	3.0	7.0	5.0	27.782	0.2857142857142857
grp-07	T2	9	270.0	67.0716	0.1919	36.3231	2.9671	5.658	0.0	0.0	3.0	1.0	1.0	4.26	1.0
grp-07	T2	10	300.0	72.5429	0.1837	36.329	2.9916	1.756	5.0	0.0	2.0	9.0	8.0	36.393	0.2222222222222222
grp-07	T2	11	330.0	74.3345	0.2255	36.3404	2.8598	4.351	0.0	0.0	1.0	6.0	4.0	12.088	0.0
grp-07	T2	12	360.0	75.277	0.1919	36.3509	2.8491	0.78	0.0	0.0	1.0	3.0	2.0	2.206	0.0
grp-07	T2	13	390.0	77.2885	0.3337	36.3635	2.8078	0.6	1.0	0.0	1.0	2.0	0.0	0.542	0.0
grp-07	T2	14	420.0	78.6473	0.4089	36.3688	2.8186	8.516	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-07	T2	15	450.0	76.3682	0.3335	36.3771	2.967	3.121	0.0	1.0	2.0	0.0	0.0	0.0	0.0
grp-07	T2	16	480.0	76.8535	0.2837	36.3761	3.0826	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-07	T2	17	510.0	73.4641	0.2338	36.3765	3.0322	10.878	1.0	0.0	2.0	0.0	0.0	0.0	0.0
