onset  	 duration	 speaker   	 text                                                                                                                                               	 type	 subtype	 energy  	 energy_ratio	 mic   	 confidence	 gap_prev_ms	 trp_silence_ms	 interruption_gap_ms	 bclatency_ms	 overlap_ms
117.977	    0.200	 MODERATOR 	 Now we reveal the outcome.                                                                                                                         	 SPK 	        	 0.008040	         1.18	 shared	 manual    	            	               	                    	             	           
124.555	   12.285	 MODERATOR 	 From the money that has been put in the community fund, each of you received 10.5 tokens.                                                          	 SPK 	        	 0.005449	         1.33	 shared	 manual    	 6378       	 6378          	                    	             	           
139.421	    6.782	 MODERATOR 	 And you should know what will be your individual tokens, because you know how much you kept.                                                       	 SPK 	        	 0.010139	         1.78	 shared	 manual    	 2581       	 2581          	                    	             	           
154.643	    0.200	 MODERATOR 	 Good.                                                                                                                                              	 SPK 	        	 0.013817	         1.75	 shared	 manual    	 8440       	 8440          	                    	             	           
155.885	    7.909	 MODERATOR 	 I know we said that it is a private decision, but now we have to reveal.                                                                           	 SPK 	        	 0.006369	         1.88	 shared	 manual    	 1042       	 1042          	                    	             	           
164.083	    6.242	 MODERATOR 	 And you have three minutes to discuss.                                                                                                             	 SPK 	        	 0.058882	         1.37	 mic9  	 manual    	 289        	 289           	                    	             	           
170.445	    0.380	 P1        	 Who is P4?                                                                                                                                         	 SPK 	        	 0.092874	         4.91	 mic9  	 manual    	 120        	 120           	 120                	             	           
173.208	    5.022	 P1        	 All right, so we are the most community-focused.                                                                                                   	 SPK 	        	 0.185202	         1.27	 mic9  	 manual    	 2383       	 2383          	 2883               	             	       2954
175.276	   19.791	 P3        	 uh I mean you guys you you guys are terrible people i thought i was bad like okay i'll keep only five and everyone is like two two three right     	 SPK 	        	 0.112281	         1.20	 mic11 	 manual    	 -2954      	 -2954         	 -2954              	             	       4012
194.101	    2.043	 MODERATOR 	 this one is the kept one                                                                                                                           	 SPK 	        	 0.261231	         1.78	 mic12 	 manual    	 -966       	 -966          	 -966               	             	       1475
194.975	    0.140	 P3        	 Ah, so I'm terrible people.                                                                                                                        	 SPK 	        	 0.122117	         0.53	 mic9  	 manual    	 -1169      	 -1169         	 -1169              	             	        232
195.775	    3.741	 P1        	 Yeah,                                                                                                                                              	 BCK 	        	 0.185139	         1.06	 mic9  	 manual    	 660        	               	                    	         1674	       2829
197.056	    3.042	 P1        	 Yeah, yeah, no, we're community-minded.                                                                                                            	 SPK 	        	 0.181972	         1.02	 mic11 	 manual    	 -2460      	 1941          	 1941               	             	       3022
199.536	    0.901	 P3        	 Then I agree with what I thought.                                                                                                                  	 SPK 	        	 0.116376	         1.42	 mic9  	 manual    	 -562       	 -562          	 -562               	             	        741
200.258	    1.141	 P1        	 We're community-minded.                                                                                                                            	 SPK 	        	 0.156245	         1.77	 mic11 	 manual    	 -179       	 -179          	 -179               	             	        179
201.519	    2.581	 P3        	 But then I agree with what I thought.                                                                                                              	 SPK 	        	 0.049319	         2.34	 mic11 	 manual    	 120        	 120           	 120                	             	           
204.741	    0.600	 P3        	 I acted like, okay, I'm keeping quite many.                                                                                                        	 SPK 	        	 0.114458	         3.51	 mic11 	 manual    	 641        	 641           	 3342               	             	           
