onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
1.154	0.4	MODERATOR	Thank you.	SPK		0.021668	1.69	MOD	confident						
1.554	1.441	GROUP	(1.4)	SIL				shared	manual	0.0					
2.995	3.242	MODERATOR	When you're ready, we can go to the next task.	SPK		0.007839	1.57	MOD	confident	0.0	1441.0				
6.237	3.348	GROUP	(3.3)	SIL				shared	manual	0.0					
9.585	10.524	MODERATOR	And again, I will need you to look at the printed names for... No, the printed one?	SPK		0.007229	1.12	MOD	confident	0.0	3348.0			3685.0	
18.391	0.93	P2	Oh... the tablet? Or?	SPK				P2	manual	-1718.0	-1718.0	-1718.0		1860.0	
18.391	0.93	P2	[OVL:competitive]	OVL	competitive			shared	confident	-930.0				1860.0	competitive
19.321	0.105	GROUP	(.)	SIL				shared	manual	0.0				105.0	
19.426	0.64	MODERATOR	No, the printed one.	SPK		0.00581	1.45	MOD	confident	0.0	105.0	105.0		1634.0	
19.426	0.64	MODERATOR	[OVL:competitive]	OVL	competitive			shared	confident	-640.0				1634.0	competitive
19.948	0.741	P2	The printed, oh.	SPK				P2	manual	-118.0	-118.0	-118.0		840.0	
19.948	0.161	P2	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-741.0				676.0	
19.948	0.118	P2	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-161.0				590.0	
20.607	4.863	MODERATOR	The printed ones, yeah.	SPK		0.001843	1.01	MOD	confident	541.0	-82.0	-82.0		164.0	
20.607	0.082	MODERATOR	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-4863.0				164.0	
25.47	0.4	GROUP	(0.4)	SIL				shared	manual	4781.0					
25.87	3.582	MODERATOR	And a little bit more because we kind of know it's enough.	SPK		0.002549	1.28	MOD	confident	0.0	400.0	5181.0			
29.452	0.341	GROUP	(0.3)	SIL				shared	manual	0.0				0.0	
29.793	0.28	MODERATOR	Perfect.	SPK		0.004299	1.69	MOD	confident	0.0	341.0	9104.0		0.0	
30.073	1.415	GROUP	(1.4)	SIL				shared	manual	0.0					
31.488	6.723	MODERATOR	So in this task, we have, you should decide about the GN workshop.	SPK		0.007343	1.59	MOD	confident	0.0	1415.0	10799.0			
38.211	1.901	GROUP	(1.9)	SIL				shared	manual	0.0					
40.112	11.185	MODERATOR	So you will talk about, you need to find a topic for a workshop among the list of topics that we provide for you and also a format for that.	SPK		0.003543	1.39	MOD	confident	0.0	1901.0	19423.0		0.0	
51.297	1.341	GROUP	(1.3)	SIL				shared	manual	0.0				0.0	
52.638	5.863	MODERATOR	Each of you has kind of a private role and some priorities on your tablets.	SPK		0.00423	1.55	MOD	confident	0.0	1341.0	31949.0			
