onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
101.299	5.086	MODERATOR	And you can start your discussion whenever you think it's best.	SPK		0.003205	1.54	shared	manual					
106.385	0.681	GROUP	(0.7)	SIL				shared	manual	0				
107.066	1.061	MODERATOR	You have eight minutes.	SPK		0.003325	1.83	shared	manual	0	681			0
108.127	84.733	GROUP	(84.7)	SIL				shared	manual	0				0
192.860	1.221	P1	Should we start?	SPK		0.008384	4.93	mic9	manual	0	84733	84733		82
193.999	0.851	P3	mm-hmm	BCK				shared	manual	-82			1139	1231
194.081	2.273	GROUP	(2.3)	SIL				shared	manual	-769				1149
194.325	0.380	P4	yeah	BCK		0.018084	3.01	mic12	manual	-2029				760
196.354	1.080	P2	Yes, okay.	SPK		0.022125	3.59	mic10	manual	1649	2273	2273		0
197.434	0.660	GROUP	(0.7)	SIL				shared	manual	0				401
197.693	0.891	P2	[BRE]	BRE				shared	manual	-401				891
198.094	1.101	P2	What's everyone thinking?	SPK		0.011540	4.80	mic10	manual	-490	660	4013		490
199.195	5.182	GROUP	(5.2)	SIL				shared	manual	0				1481
202.705	0.500	P3	mmh	BCK				shared	manual	-1672				500
203.393	0.981	P1	mmh	BCK				shared	manual	188				981
204.377	2.822	P3	So should we decide for a topic maybe first?	SPK		0.014261	5.34	mic11	manual	3	5182	5182		
207.199	0.646	GROUP	(0.6)	SIL				shared	manual	0				
207.845	3.161	P1	Should we start saying which topic we think we need to follow?	SPK		0.018691	3.53	mic9	manual	0	646	646		
211.006	1.500	GROUP	(1.5)	SIL				shared	manual	0				940
211.169	0.440	P4	yeah	BCK		0.018116	1.21	mic12	manual	-1337				644
211.405	0.500	P2	mm-hmm	BCK				shared	manual	-204				704
212.506	2.001	P1	Yes.	SPK		0.010021	1.64	mic9	manual	601	1500	5307		2252
213.066	0.811	P3	Yep.	SPK		0.003708	3.10	mic10	manual	-1441	-1441	-1441		1622
213.066	0.811	P3	[OVL:competitive]	OVL	competitive			shared	manual	-811				1622
213.877	1.170	GROUP	(1.2)	SIL				shared	manual	0				630
215.047	1.841	P1	I vote for stress and workload.	SPK		0.015906	6.13	mic9	manual	0	1170	1170		
216.888	4.273	GROUP	(4.3)	SIL				shared	manual	0				1531
218.255	1.531	P4	mmh	BCK				shared	manual	-2906				1531
221.161	0.952	P2	Why?	SPK		0.023827	5.30	mic10	manual	1375	4273	4273		226
222.000	2.571	P1	Well, because it’s important	SPK				shared	manual	-113	-113	-113		557
222.000	0.113	P1	[OVL:smooth]	OVL	smooth			shared	manual	-2571				226
224.240	6.411	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	2127				6411
224.571	5.798	GROUP	(5.8)	SIL				shared	manual	-6080				5798
230.369	0.901	P2	yeah	SPK		0.018978	1.55	mic10	manual	0	5798	5798		540
231.141	1.819	P1	and everyone can suffer that	SPK				shared	manual	-129	-129	-129		258
231.141	0.129	P1	[OVL:smooth]	OVL	smooth			shared	manual	-1819				258
232.960	2.040	GROUP	(2.0)	SIL				shared	manual	1690				1051
233.832	1.051	P2	mmh	BCK				shared	manual	-1168				1051
235.000	15.120	P2	okay so I'm thinking maybe a good workshop could be um either how to work better across teams or how to use the AI for productivity in daily tasks	SPK				shared	manual	117	2040	2040		
250.120	3.565	GROUP	(3.6)	SIL				shared	manual	0				1491
250.781	1.491	P2	um	FP				shared	manual	-2904				1491
253.685	4.483	P2	I think it's relevant to what's going on at GN at the moment.	SPK		0.011587	5.02	mic10	manual	1413	3565	20725		
258.168	3.202	GROUP	(3.2)	SIL				shared	manual	0				500
259.554	0.500	P4	mmh	BCK				shared	manual	-1816				500
261.370	4.183	P2	And it also just helps with productivity and effectiveness.	SPK		0.005617	1.60	shared	manual	1316	3202	28410		
265.553	2.014	GROUP	(2.0)	SIL				shared	manual	0				500
266.021	0.500	P4	mm-hmm	BCK				shared	manual	-1546				500
267.567	7.400	P1	At the same time, there is uncertainty in the workplace now, so stress could be a good factor to consider.	SPK		0.023210	2.05	mic9	manual	1046	2014	2014		4537
271.487	1.459	P2	yeah	BCK				shared	manual	-3480			3920	1827
272.578	0.500	P3	yeah	BCK				shared	manual	-368			5011	868
273.678	3.811	P2	But if you can get your work done quicker, then you can go home and	SPK		0.086014	2.41	mic10	manual	600	-1289	-1289		4016
273.678	1.289	P2	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-3811				2578
276.770	1.589	P1	Then you get more work.	SPK		0.068044	1.68	mic9	manual	1803	-719	-719		1486
276.770	0.719	P1	[OVL:competitive]	OVL	competitive			shared	manual	-1589				1438
278.311	3.029	P1	Well no no more work you only have seven hours	SPK		0.044261	0.73	mic9	manual	822	-48	822		48
281.340	0.442	GROUP	(0.4)	SIL				shared	manual	0				
281.782	3.811	P2	If you get it done early, then go home and relax.	SPK		0.015073	4.13	mic10	manual	0	442	442		304
285.441	0.480	P1	Yeah, I’m not.	SPK		0.012113	5.81	mic9	manual	-152	-152	-152		304
285.441	0.152	P1	[OVL:smooth]	OVL	smooth			shared	manual	-480				304
285.921	0.461	GROUP	(0.5)	SIL				shared	manual	328				120
286.262	1.261	GROUP	[SOFT LAUGHTER]	LAU				shared	manual	-120				1261
286.382	2.131	P1	It depends which position you are, but...	SPK		0.033356	1.71	mic9	manual	-1141	461	789		1411
288.243	1.232	GROUP	[SOFT LAUGHTER]	LAU				shared	manual	-270				1232
288.513	1.092	GROUP	(1.1)	SIL				shared	manual	-962				962
289.605	6.568	P3	Yeah, for me, maybe how to work better across teams or how to manage stress and workload at work.	SPK		0.033359	6.49	mic11	manual	0	1092	1092		
296.173	0.216	GROUP	(0.2)	SIL				shared	manual	0				
296.389	7.986	P3	I think stress is important because I think you have, like, study in Denmark or even, like, in the world, like, a lot of people feel stress.	SPK		0.021487	6.28	mic11	manual	0	216	7876		
304.375	0.681	GROUP	(0.7)	SIL				shared	manual	0				
305.056	9.607	P3	And so, like, companies have a tendency to add, like, a lot of workload to consolidate, like, position and to maybe do, like, what can be, like...	SPK		0.029638	4.36	mic11	manual	0	681	16543		500
305.250	0.500	P4	mm-hmm	BCK				shared	manual	-9413			194	500
314.663	0.941	GROUP	(0.9)	SIL				shared	manual	8913				
315.604	18.877	P3	three positions they want to do it in one position role so we have more workload so maybe employees can also learn to stand their ground and also like set boundaries for like for their managers but also to speak to speak out loud so yeah	SPK		0.027819	3.92	mic11	manual	0	941	27091		1000
327.257	0.500	P2	mm-hmm	BCK				shared	manual	-7224			11653	500
332.997	0.500	P2	mmh	BCK				shared	manual	5240			17393	500
334.481	0.649	GROUP	(0.6)	SIL				shared	manual	984				
335.130	2.360	P2	And this is topic number two?	SPK		0.028857	5.68	mic11	manual	0	649	649		980
337.000	7.779	P3	It would be more topic number four, but it kind of also like work with topic number two.	SPK				shared	manual	-490	-490	-490		1159
337.000	0.490	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-7779				980
344.600	1.061	P2	mmh	BCK				shared	manual	7110			7600	1027
344.813	2.601	P3	I feel like I kind of like close.	SPK		0.013452	1.32	mic11	manual	-848	34	7323		1348
346.021	0.500	P4	mmh	BCK				shared	manual	-1393			1208	500
347.414	2.377	GROUP	(2.4)	SIL				shared	manual	893				2501
347.830	0.771	P2	yeah	BCK				shared	manual	-1961				1522
347.942	1.099	P4	mm-hmm	BCK				shared	manual	-659				1850
348.320	0.092	P2	yeah	BCK				shared	manual	-721				276
349.252	1.400	P2	okay	BCK				shared	manual	840				1400
349.791	1.720	P4	I would also think	SPK				shared	manual	-861	2377	2377		861
351.511	1.489	GROUP	(1.5)	SIL				shared	manual	0				
353.000	19.000	P4	Number four, it could be relative because from my perspective, GN is a big corporation and maybe sometimes people do not feel so comfortable talking to someone privately about stress or workload or it's not managed efficiently.	SPK				shared	manual	0	1489	5586		
372.000	0.573	GROUP	(0.6)	SIL				shared	manual	0				433
372.140	0.851	P2	mmh	BCK				shared	manual	-433				851
372.573	8.422	P4	And then having a workshop negotiation on that could help people understand how to manage it and deal with it.	SPK		0.019024	7.11	mic12	manual	-418	573	25159		418
380.995	1.821	GROUP	(1.8)	SIL				shared	manual	0				500
381.413	0.500	P2	mm-hmm	BCK				shared	manual	-1403				500
382.816	9.727	P4	I would waive the AI, but because I know that it's very relevant right now, but I feel like there are a lot of efforts put into that at the moment.	SPK		0.038015	6.96	mic12	manual	903	1821	35402		500
388.706	0.500	P2	mmh	BCK				shared	manual	-3837			5890	500
392.543	1.101	GROUP	(1.1)	SIL				shared	manual	3337				778
392.826	0.778	P2	mm-hmm	BCK				shared	manual	-818				778
